path;start_sec;end_sec;mark;sentence;duration;prediction;phones;timestamps;wer;mer;wil;cer
./audios/SP_DID_242_0.13196_6.45379.wav;0,13196;6,45379;Heloísa eu gostaria de saber... éh... como a senhora entrou para esco::la e com que ida::de por exemplo?;heloísa eu gostaria de saber eh como a senhora entrou para escola e com que idade por exemplo;6,321829999999999;a luís eu gostaria de saber como a senhora entrou pr escola e com que idade por exempllo;aloizagasadedsabekomasŋodntropriskɔlaiːkonkiːdaːdpodiːzɪŋ;[{'text': 'a', 'timestamp': (0.06, 0.08)}, {'text': 'luís', 'timestamp': (0.14, 0.38)}, {'text': 'eu', 'timestamp': (0.46, 0.52)}, {'text': 'gostaria', 'timestamp': (0.56, 0.86)}, {'text': 'de', 'timestamp': (0.92, 0.96)}, {'text': 'saber', 'timestamp': (1.06, 1.36)}, {'text': 'como', 'timestamp': (2.48, 2.72)}, {'text': 'a', 'timestamp': (2.78, 2.82)}, {'text': 'senhora', 'timestamp': (2.9, 3.14)}, {'text': 'entrou', 'timestamp': (3.2, 3.42)}, {'text': 'pr', 'timestamp': (3.5, 3.56)}, {'text': 'escola', 'timestamp': (3.7, 4.28)}, {'text': 'e', 'timestamp': (4.52, 4.54)}, {'text': 'com', 'timestamp': (4.64, 4.72)}, {'text': 'que', 'timestamp': (4.8, 4.88)}, {'text': 'idade', 'timestamp': (4.96, 5.4)}, {'text': 'por', 'timestamp': (5.5, 5.58)}, {'text': 'exempllo', 'timestamp': (5.72, 6.14)}];0,2777777777777778;0,2631578947368421;0,3950617283950617;0,10752688172043011
./audios/SP_DID_242_13.95796_14.33348.wav;13,95796;14,33348;uhum;aham;0,37551999999999985;que;k;[{'text': 'que', 'timestamp': (1.06, 1.16)}];1,0;1,0;1,0;1,0
./audios/SP_DID_242_22.62037_23.48087.wav;22,62037;23,48087;uhum;aham;0,8604999999999983;qe;ɛt;[{'text': 'qe', 'timestamp': (1.34, 1.44)}];1,0;1,0;1,0;1,0
./audios/SP_DID_242_34.95246_35.79504.wav;34,95246;35,79504;uhum;aham;0,8425799999999981;ti;tʃl;[{'text': 'ti', 'timestamp': (1.1, 1.18)}];1,0;1,0;1,0;1,0
./audios/SP_DID_242_64.21551_65.04821.wav;64,21551;65,04821;uhum;aham;0,8327000000000027;foi;x;[{'text': 'foi', 'timestamp': (1.12, 1.42)}];1,0;1,0;1,0;1,0
./audios/SP_DID_242_67.59164_68.11315.wav;67,59164;68,11315;certo;certo;0,5215100000000064;tet;t;[{'text': 'tet', 'timestamp': (1.0, 1.26)}];1,0;1,0;1,0;0,6
./audios/SP_DID_242_68.39822_79.6345.wav;68,39822;79,6345;agora... depois desse curso... a senhora continuou a estudar:: certo? e tem/ e teve uma formação universitária gostaria de... que a senhora falasse... os CURsos que a senhora fez até então;agora depois desse curso a senhora continuou a estudar certo e tem e teve uma formação universitária gostaria de que a senhora falasse os cursos que a senhora fez até então;11,236280000000008;agora depois desse curso a senhora continuou a estudar certo ee teve uma formação universitária eu gostaria dque a senhora falasse os cursos que a senhora fez até então;aɡgoadadepusdesekursuasiɲorakontinuaestudarsertuteŋɡitevumaformasaunivesitaʒeɡostadaddekasjonɲalafalaseuskursoskesiɲnafessatento;[{'text': 'agora', 'timestamp': (0.14, 0.52)}, {'text': 'depois', 'timestamp': (0.82, 1.12)}, {'text': 'desse', 'timestamp': (1.22, 1.42)}, {'text': 'curso', 'timestamp': (1.56, 1.92)}, {'text': 'a', 'timestamp': (2.1, 2.12)}, {'text': 'senhora', 'timestamp': (2.22, 2.44)}, {'text': 'continuou', 'timestamp': (2.52, 2.98)}, {'text': 'a', 'timestamp': (3.04, 3.08)}, {'text': 'estudar', 'timestamp': (3.14, 3.6)}, {'text': 'certo', 'timestamp': (3.78, 4.12)}, {'text': 'ee', 'timestamp': (4.28, 4.76)}, {'text': 'teve', 'timestamp': (4.84, 4.96)}, {'text': 'uma', 'timestamp': (5.02, 5.1)}, {'text': 'formação', 'timestamp': (5.18, 5.48)}, {'text': 'universitária', 'timestamp': (5.56, 6.24)}, {'text': 'eu', 'timestamp': (6.34, 6.38)}, {'text': 'gostaria', 'timestamp': (6.44, 6.76)}, {'text': 'dque', 'timestamp': (6.96, 7.52)}, {'text': 'a', 'timestamp': (7.56, 7.58)}, {'text': 'senhora', 'timestamp': (7.62, 7.84)}, {'text': 'falasse', 'timestamp': (7.96, 8.36)}, {'text': 'os', 'timestamp': (8.68, 8.76)}, {'text': 'cursos', 'timestamp': (8.94, 9.26)}, {'text': 'que', 'timestamp': (9.34, 9.4)}, {'text': 'a', 'timestamp': (9.44, 9.46)}, {'text': 'senhora', 'timestamp': (9.52, 9.76)}, {'text': 'fez', 'timestamp': (9.9, 10.1)}, {'text': 'até', 'timestamp': (10.52, 10.66)}, {'text': 'então', 'timestamp': (10.76, 11.06)}];0,1935483870967742;0,1875;0,24805339265850945;0,05813953488372093
./audios/SP_DID_242_87.97465_88.67862.wav;87,97465;88,67862;uhum;aham;0,7039699999999982;d;d;[{'text': 'd', 'timestamp': (1.66, 1.68)}];1,0;1,0;1,0;1,0
./audios/SP_DID_242_119.35797_119.84535.wav;119,35797;119,84535;uhum;aham;0,4873800000000017;;;[];1,0;1,0;1,0;1,0
./audios/SP_DID_242_172.70698_173.45462.wav;172,70698;173,45462;(sim);sim;0,7476400000000183;;;[];1,0;1,0;1,0;1,0
./audios/SP_DID_242_189.53594_190.29037.wav;189,53594;190,29037;uhum;aham;0,7544299999999851;;;[];1,0;1,0;1,0;1,0
./audios/SP_DID_242_203.31828_203.73069.wav;203,31828;203,73069;uhum;aham;0,4124100000000226;;;[];1,0;1,0;1,0;1,0
./audios/SP_DID_242_204.01631_210.40519.wav;204,01631;210,40519;eu gostaria que a senhora indicasse a:: --por que a senhora tem alguns livros publicados né?-- eu gostaria que a senhora dissesse alguma coisa;eu gostaria que a senhora indicasse a por que a senhora tem alguns livros publicados né eu gostaria que a senhora dissesse alguma coisa;6,38888;eu bostaria que a senhora indicasse porque a senha tem alguns livros publicados eu gontaria que só dissesse alguma coisa;jovosdekesiŋarendikasapkɛshateŋalguoslivrospublikadosnagosdeksodisɛlsjogumakoza;[{'text': 'eu', 'timestamp': (0.06, 0.16)}, {'text': 'bostaria', 'timestamp': (0.22, 0.54)}, {'text': 'que', 'timestamp': (0.6, 0.66)}, {'text': 'a', 'timestamp': (0.72, 0.74)}, {'text': 'senhora', 'timestamp': (0.8, 1.04)}, {'text': 'indicasse', 'timestamp': (1.12, 1.72)}, {'text': 'porque', 'timestamp': (2.34, 2.48)}, {'text': 'a', 'timestamp': (2.52, 2.54)}, {'text': 'senha', 'timestamp': (2.58, 2.72)}, {'text': 'tem', 'timestamp': (2.78, 2.86)}, {'text': 'alguns', 'timestamp': (2.94, 3.16)}, {'text': 'livros', 'timestamp': (3.26, 3.46)}, {'text': 'publicados', 'timestamp': (3.52, 4.16)}, {'text': 'eu', 'timestamp': (4.42, 4.46)}, {'text': 'gontaria', 'timestamp': (4.5, 4.78)}, {'text': 'que', 'timestamp': (4.82, 4.88)}, {'text': 'só', 'timestamp': (4.96, 5.0)}, {'text': 'dissesse', 'timestamp': (5.04, 5.36)}, {'text': 'alguma', 'timestamp': (5.44, 5.64)}, {'text': 'coisa', 'timestamp': (5.78, 6.18)}];0,375;0,375;0,53125;0,13333333333333333
./audios/SP_DID_242_219.50978_220.15867.wav;219,50978;220,15867;uhum;aham;0,6488899999999944;i;i;[{'text': 'i', 'timestamp': (1.56, 1.58)}];1,0;1,0;1,0;1,0
./audios/SP_DID_242_335.27094_335.83423.wav;335,27094;335,83423;uhum;aham;0,563289999999995;i;bi;[{'text': 'i', 'timestamp': (1.04, 1.06)}];1,0;1,0;1,0;1,0
./audios/SP_DID_242_353.78978_354.44212.wav;353,78978;354,44212;uhum;aham;0,652339999999981;ma;ma;[{'text': 'ma', 'timestamp': (1.58, 1.64)}];1,0;1,0;1,0;0,75
./audios/SP_DID_242_457.24969_457.74779.wav;457,24969;457,74779;certo;certo;0,4981000000000222;;tn;[];1,0;1,0;1,0;1,0
./audios/SP_DID_242_458.12387_467.63465.wav;458,12387;467,63465;a senhora que passou grande parte... éh se dedicando ao Mackenzie... eu gostaria de saber COmo foi a época... de éh a senhora como aluna;a senhora que passou grande parte eh se dedicando ao mackenzie eu gostaria de saber como foi a época de eh a senhora como aluna;9,510780000000011;a senhora que está sua grande parte se dedicando ao ma kenz eu gostaria de saber como foi a época dea senhora com uma aluna;asɪŋarekitavsoɡrɛndipatisidedikandamakezigosadedisaberkomofojaɛpukadiasuɲarakomalunə;[{'text': 'a', 'timestamp': (0.1, 0.12)}, {'text': 'senhora', 'timestamp': (0.18, 0.4)}, {'text': 'que', 'timestamp': (0.48, 0.54)}, {'text': 'está', 'timestamp': (0.58, 0.7)}, {'text': 'sua', 'timestamp': (0.8, 0.88)}, {'text': 'grande', 'timestamp': (0.96, 1.2)}, {'text': 'parte', 'timestamp': (1.32, 1.62)}, {'text': 'se', 'timestamp': (2.36, 2.4)}, {'text': 'dedicando', 'timestamp': (2.46, 2.88)}, {'text': 'ao', 'timestamp': (2.94, 2.98)}, {'text': 'ma', 'timestamp': (3.02, 3.08)}, {'text': 'kenz', 'timestamp': (3.28, 3.68)}, {'text': 'eu', 'timestamp': (4.3, 4.36)}, {'text': 'gostaria', 'timestamp': (4.4, 4.7)}, {'text': 'de', 'timestamp': (4.76, 4.8)}, {'text': 'saber', 'timestamp': (4.9, 5.14)}, {'text': 'como', 'timestamp': (5.32, 5.56)}, {'text': 'foi', 'timestamp': (5.8, 6.0)}, {'text': 'a', 'timestamp': (6.14, 6.16)}, {'text': 'época', 'timestamp': (6.28, 6.68)}, {'text': 'dea', 'timestamp': (7.56, 8.3)}, {'text': 'senhora', 'timestamp': (8.38, 8.58)}, {'text': 'com', 'timestamp': (8.62, 8.7)}, {'text': 'uma', 'timestamp': (8.76, 8.84)}, {'text': 'aluna', 'timestamp': (8.9, 9.28)}];0,4;0,37037037037037035;0,5375999999999999;0,16535433070866143
./audios/SP_DID_242_467.94088_474.48937.wav;467,94088;474,48937;a época... o ensino... na sua época e o ensino atual no Mackenzie houve GRANdes modificações?;a época o ensino na sua época e o ensino atual no mackenzie houve grandes modificações;6,548490000000015;a época o ensino na sua época e o ensino atual no makenz ouve grandes modificações;aɛpkaduinsinunasowaɛpukaiinsinatualnmakenziovigʁɛndezmodifikasons;[{'text': 'a', 'timestamp': (0.08, 0.1)}, {'text': 'época', 'timestamp': (0.16, 0.36)}, {'text': 'o', 'timestamp': (0.86, 0.88)}, {'text': 'ensino', 'timestamp': (0.96, 1.48)}, {'text': 'na', 'timestamp': (2.18, 2.24)}, {'text': 'sua', 'timestamp': (2.36, 2.52)}, {'text': 'época', 'timestamp': (2.6, 2.9)}, {'text': 'e', 'timestamp': (3.06, 3.08)}, {'text': 'o', 'timestamp': (3.14, 3.16)}, {'text': 'ensino', 'timestamp': (3.24, 3.54)}, {'text': 'atual', 'timestamp': (3.6, 3.92)}, {'text': 'no', 'timestamp': (3.98, 4.04)}, {'text': 'makenz', 'timestamp': (4.08, 4.46)}, {'text': 'ouve', 'timestamp': (4.64, 4.78)}, {'text': 'grandes', 'timestamp': (4.92, 5.26)}, {'text': 'modificações', 'timestamp': (5.34, 6.28)}];0,125;0,125;0,234375;0,046511627906976744
./audios/SP_DID_242_503.25017_503.71812.wav;503,25017;503,71812;uhum;aham;0,46794999999997344;poge;d;[{'text': 'poge', 'timestamp': (1.0, 1.26)}];1,0;1,0;1,0;1,0
./audios/SP_DID_242_511.34549_511.80388.wav;511,34549;511,80388;uhum;aham;0,4583900000000085;qe;t;[{'text': 'qe', 'timestamp': (1.1, 1.2)}];1,0;1,0;1,0;1,0
./audios/SP_DID_242_528.81371_529.39731.wav;528,81371;529,39731;(an);an;0,5835999999999331;eu;;[{'text': 'eu', 'timestamp': (1.54, 1.64)}];1,0;1,0;1,0;1,0
./audios/SP_DID_242_542.27894_543.00604.wav;542,27894;543,00604;uhum;aham;0,7270999999999503;quê;t;[{'text': 'quê', 'timestamp': (1.2, 1.32)}];1,0;1,0;1,0;1,0
./audios/SP_DID_242_577.95277_578.25402.wav;577,95277;578,25402;uhum;aham;0,3012499999999818;;hej;[];1,0;1,0;1,0;1,0
./audios/SP_DID_242_628.78237_629.32917.wav;628,78237;629,32917;uhum;aham;0,546799999999962;qu;kita;[{'text': 'qu', 'timestamp': (1.0, 1.04)}];1,0;1,0;1,0;1,0
./audios/SP_DID_242_684.72231_685.3639.wav;684,72231;685,3639;uhum;aham;0,641589999999951;mas;mas;[{'text': 'mas', 'timestamp': (1.5, 1.6)}];1,0;1,0;1,0;0,75
./audios/SP_DID_242_840.11342_840.54059.wav;840,11342;840,54059;certo;certo;0,42716999999993277;feta;sd;[{'text': 'feta', 'timestamp': (1.08, 1.38)}];1,0;1,0;1,0;0,6
./audios/SP_DID_242_840.90414_842.95047.wav;840,90414;842,95047;e como eram os professores naquela época?;e como eram os professores naquela época;2,0463300000000118;e como eram os professores naquela época;komlaːduŋsprofesodɪznakɛlɛp;[{'text': 'e', 'timestamp': (0.04, 0.06)}, {'text': 'como', 'timestamp': (0.14, 0.3)}, {'text': 'eram', 'timestamp': (0.42, 0.58)}, {'text': 'os', 'timestamp': (0.64, 0.68)}, {'text': 'professores', 'timestamp': (0.74, 1.3)}, {'text': 'naquela', 'timestamp': (1.4, 1.72)}, {'text': 'época', 'timestamp': (1.82, 2.02)}];0,0;0,0;0,0;0,0
./audios/SP_DID_242_842.95047_844.38.wav;842,95047;844,38;exigentes demais ou não?;exigentes demais ou não;1,4295299999999997;exigentes demais ou não;eziʒentesdimazouno;[{'text': 'exigentes', 'timestamp': (0.08, 0.6)}, {'text': 'demais', 'timestamp': (0.66, 0.98)}, {'text': 'ou', 'timestamp': (1.06, 1.12)}, {'text': 'não', 'timestamp': (1.18, 1.3)}];0,0;0,0;0,0;0,0
./audios/SP_DID_242_853.03771_853.41345.wav;853,03771;853,41345;uhum;aham;0,37574000000006436;ar;ɾ;[{'text': 'ar', 'timestamp': (1.0, 1.06)}];1,0;1,0;1,0;0,75
./audios/SP_DID_242_857.74137_858.2303.wav;857,74137;858,2303;ah certo;ah certo;0,4889300000000958;ná certo;nst;[{'text': 'ná', 'timestamp': (1.0, 1.06)}, {'text': 'certo', 'timestamp': (1.24, 1.58)}];0,5;0,5;0,75;0,25
./audios/SP_DID_242_858.62069_863.21282.wav;858,62069;863,21282;e os ti/ a senhora disse dos trabalhos... agora existia alguma outro tipo de avaliação?;e os ti a senhora disse dos trabalhos agora existia alguma outro tipo de avaliação;4,592129999999997;elfila só disse dos trabalhos agora existia algum outro tipo de avaliação;ilstelasandisidostrabalosagardisistjaogummuotrotipodiavaliasa;[{'text': 'elfila', 'timestamp': (0.06, 0.46)}, {'text': 'só', 'timestamp': (0.54, 0.58)}, {'text': 'disse', 'timestamp': (0.68, 0.84)}, {'text': 'dos', 'timestamp': (0.9, 1.02)}, {'text': 'trabalhos', 'timestamp': (1.08, 1.58)}, {'text': 'agora', 'timestamp': (2.16, 2.34)}, {'text': 'existia', 'timestamp': (2.44, 2.74)}, {'text': 'algum', 'timestamp': (2.82, 3.02)}, {'text': 'outro', 'timestamp': (3.16, 3.34)}, {'text': 'tipo', 'timestamp': (3.42, 3.6)}, {'text': 'de', 'timestamp': (3.66, 3.7)}, {'text': 'avaliação', 'timestamp': (3.76, 4.4)}];0,4;0,4;0,55;0,15853658536585366
./audios/SP_DID_242_865.17063_865.90204.wav;865,17063;865,90204;para nota?;para nota;0,7314100000000963;tranota;branɒtm;[{'text': 'tranota', 'timestamp': (1.08, 1.62)}];1,0;1,0;1,0;0,3333333333333333
./audios/SP_DID_242_872.76679_874.1486.wav;872,76679;874,1486;(eram os trabalhos?);eram os trabalhos;1,3818099999999731;que eram;kɪɛɾost;[{'text': 'que', 'timestamp': (0.12, 0.2)}, {'text': 'eram', 'timestamp': (0.98, 1.12)}];1,0;0,75;0,8333333333333334;0,8235294117647058
./audios/SP_DID_242_888.46439_888.99329.wav;888,46439;888,99329;uhum;aham;0,5289000000000215;a;;[{'text': 'a', 'timestamp': (1.42, 1.44)}];1,0;1,0;1,0;0,75
./audios/SP_DID_242_895.40894_895.86515.wav;895,40894;895,86515;certo;certo;0,45620999999994183;fe;sd;[{'text': 'fe', 'timestamp': (1.06, 1.12)}];1,0;1,0;1,0;0,8
./audios/SP_DID_242_902.46945_902.99148.wav;902,46945;902,99148;uhum;aham;0,5220299999999725;sar;fɛ;[{'text': 'sar', 'timestamp': (1.1, 1.3)}];1,0;1,0;1,0;0,75
./audios/SP_DID_242_903.54432_907.11335.wav;903,54432;907,11335;e como é que foi o encerramento do curso no Mackenzie?;e como é que foi o encerramento do curso no mackenzie;3,569029999999998;e como é foi encerramento do curso noma kuinze;egumekfojinseʁamentodkuɾsodmakenze;[{'text': 'e', 'timestamp': (0.18, 0.2)}, {'text': 'como', 'timestamp': (0.36, 0.5)}, {'text': 'é', 'timestamp': (0.56, 0.58)}, {'text': 'foi', 'timestamp': (0.8, 0.88)}, {'text': 'encerramento', 'timestamp': (0.98, 1.82)}, {'text': 'do', 'timestamp': (1.9, 1.94)}, {'text': 'curso', 'timestamp': (2.1, 2.42)}, {'text': 'noma', 'timestamp': (2.5, 2.66)}, {'text': 'kuinze', 'timestamp': (2.8, 3.24)}];0,36363636363636365;0,36363636363636365;0,505050505050505;0,20754716981132076
./audios/SP_DID_242_907.21397_908.12433.wav;907,21397;908,12433;a turma;a turma;0,9103599999999687;aturma;attuɾuma;[{'text': 'aturma', 'timestamp': (1.06, 1.7)}];1,0;1,0;1,0;0,14285714285714285
./audios/SP_DID_242_910.80744_911.87215.wav;910,80744;911,87215;do curso mesmo;do curso mesmo;1,064709999999991;entant comisso mesmo;takkɒssmjz;[{'text': 'entant', 'timestamp': (0.04, 0.22)}, {'text': 'comisso', 'timestamp': (0.3, 0.66)}, {'text': 'mesmo', 'timestamp': (0.74, 0.98)}];0,6666666666666666;0,6666666666666666;0,8888888888888888;0,7142857142857143
./audios/SP_DID_242_911.87215_915.14162.wav;911,87215;915,14162;quando vocês TERminaram... o curso como é que foi?;quando vocês terminaram o curso como é que foi;3,2694699999999557;quando vocês terminaram no curso como é que foi;ponposesteminaldomdɪkulsokomɛkfoj;[{'text': 'quando', 'timestamp': (0.04, 0.2)}, {'text': 'vocês', 'timestamp': (0.28, 0.5)}, {'text': 'terminaram', 'timestamp': (0.72, 1.56)}, {'text': 'no', 'timestamp': (1.88, 1.94)}, {'text': 'curso', 'timestamp': (2.08, 2.42)}, {'text': 'como', 'timestamp': (2.5, 2.62)}, {'text': 'é', 'timestamp': (2.68, 2.7)}, {'text': 'que', 'timestamp': (2.78, 2.84)}, {'text': 'foi', 'timestamp': (2.96, 3.1)}];0,1111111111111111;0,1111111111111111;0,2098765432098766;0,021739130434782608
./audios/SP_DID_242_915.64204_917.34515.wav;915,64204;917,34515;houve alguma fe::sta?;houve alguma festa;1,7031100000000379;ouve alguma feta ah;odoumasea;[{'text': 'ouve', 'timestamp': (0.12, 0.26)}, {'text': 'alguma', 'timestamp': (0.32, 0.54)}, {'text': 'feta', 'timestamp': (0.72, 1.22)}, {'text': 'ah', 'timestamp': (1.34, 1.6)}];1,0;0,75;0,9166666666666666;0,2777777777777778
./audios/SP_DID_242_967.1434_967.60487.wav;967,1434;967,60487;uhum;aham;0,46146999999996297;;ani;[];1,0;1,0;1,0;1,0
./audios/SP_DID_242_979.58768_980.08729.wav;979,58768;980,08729;certo;certo;0,49961000000007516;certo;sɛt;[{'text': 'certo', 'timestamp': (1.06, 1.4)}];0,0;0,0;0,0;0,0
./audios/SP_DID_242_980.69628_991.43302.wav;980,69628;991,43302;agora eu gostaria de saber o seguinte... naquela época uma vez que o a turma... encerrou o curso tal... muitos alunos foram pras faculdades?;agora eu gostaria de saber o seguinte naquela época uma vez que o a turma encerrou o curso tal muitos alunos foram pras faculdades;10,736740000000054;agora eu gostaria de saber o seguinte naquela época uma vez que a turma em seu rocurso tal muitos alunos foram paras faculdades;agodaevosededsabisigintenakɛlaɛpukamaveskiuaturmainseuhokursutaluɪntosalunosfodomprɛsakudads;[{'text': 'agora', 'timestamp': (0.18, 0.46)}, {'text': 'eu', 'timestamp': (0.58, 0.64)}, {'text': 'gostaria', 'timestamp': (0.68, 0.96)}, {'text': 'de', 'timestamp': (1.0, 1.04)}, {'text': 'saber', 'timestamp': (1.14, 1.34)}, {'text': 'o', 'timestamp': (1.4, 1.42)}, {'text': 'seguinte', 'timestamp': (1.5, 1.92)}, {'text': 'naquela', 'timestamp': (2.4, 2.74)}, {'text': 'época', 'timestamp': (2.86, 3.18)}, {'text': 'uma', 'timestamp': (3.28, 3.38)}, {'text': 'vez', 'timestamp': (3.48, 3.64)}, {'text': 'que', 'timestamp': (3.86, 3.94)}, {'text': 'a', 'timestamp': (4.62, 4.64)}, {'text': 'turma', 'timestamp': (4.78, 5.14)}, {'text': 'em', 'timestamp': (5.88, 5.92)}, {'text': 'seu', 'timestamp': (6.02, 6.12)}, {'text': 'rocurso', 'timestamp': (6.2, 6.84)}, {'text': 'tal', 'timestamp': (7.0, 7.16)}, {'text': 'muitos', 'timestamp': (8.3, 8.72)}, {'text': 'alunos', 'timestamp': (8.8, 9.18)}, {'text': 'foram', 'timestamp': (9.36, 9.62)}, {'text': 'paras', 'timestamp': (9.68, 9.86)}, {'text': 'faculdades', 'timestamp': (9.92, 10.54)}];0,20833333333333334;0,20833333333333334;0,34601449275362317;0,08461538461538462
./audios/SP_DID_242_991.43302_992.02125.wav;991,43302;992,02125;dessa turma?;dessa turma;0,5882299999999532;dessa turmen;dɛstuɾm;[{'text': 'dessa', 'timestamp': (1.08, 1.3)}, {'text': 'turmen', 'timestamp': (1.42, 1.68)}];0,5;0,5;0,75;0,18181818181818182
./audios/SP_DID_242_992.02125_994.0122.wav;992,02125;994,0122;a senhora disse que saíram grandes nomes né?;a senhora disse que saíram grandes nomes né;1,990949999999998;a senhora disse que saíram grandes nomes né;sŋɛradɪskɪsaːduŋɡrɛndəsnoːvmiːznɛ;[{'text': 'a', 'timestamp': (0.08, 0.1)}, {'text': 'senhora', 'timestamp': (0.14, 0.32)}, {'text': 'disse', 'timestamp': (0.34, 0.48)}, {'text': 'que', 'timestamp': (0.5, 0.6)}, {'text': 'saíram', 'timestamp': (0.64, 0.86)}, {'text': 'grandes', 'timestamp': (0.92, 1.2)}, {'text': 'nomes', 'timestamp': (1.3, 1.68)}, {'text': 'né', 'timestamp': (1.78, 1.86)}];0,0;0,0;0,0;0,0
