path;start_sec;end_sec;mark;sentence;duration;prediction;phones;timestamps;wer;mer;wil;cer
./audios/SP_EF_377_0.07721_0.6275.wav;0,07721;0,6275;(...) certo?;certo;0,55029;tero;ð;[{'text': 'tero', 'timestamp': (1.06, 1.48)}];1,0;1,0;1,0;0,4
./audios/SP_EF_377_0.75155_8.90155.wav;0,75155;8,90155;então os testes que (medirem) que medem a capaciDAde são testes que dão mais (restrito) prognó::stico do indivíduo;então os testes que medirem que medem a capacidade são testes que dão mais restrito prognóstico do indivíduo;8,15;então nosperes e menino que mee a capacitase uqeras então  maismareseqto pru nossococmmio;ɪntrəspɛsɛssimimicimɛjakasatoɡɛstokmarəbrnɔ;[{'text': 'então', 'timestamp': (0.2, 0.4)}, {'text': 'nosperes', 'timestamp': (0.52, 1.18)}, {'text': 'e', 'timestamp': (1.36, 1.38)}, {'text': 'menino', 'timestamp': (1.46, 1.96)}, {'text': 'que', 'timestamp': (2.06, 2.14)}, {'text': 'mee', 'timestamp': (2.24, 2.52)}, {'text': 'a', 'timestamp': (2.66, 2.68)}, {'text': 'capacitase', 'timestamp': (2.76, 3.88)}, {'text': 'uqeras', 'timestamp': (4.0, 4.54)}, {'text': 'então', 'timestamp': (4.66, 4.88)}, {'text': 'maismareseqto', 'timestamp': (5.28, 6.14)}, {'text': 'pru', 'timestamp': (6.22, 6.46)}, {'text': 'nossococmmio', 'timestamp': (6.66, 8.04)}];0,8333333333333334;0,8333333333333334;0,9615384615384616;0,4537037037037037
./audios/SP_EF_377_9.32044_16.38539.wav;9,32044;16,38539;então por exemplo... éh:: em seleção de pessoal:: são adotados testes... que medem a capacidade do indivíduo;então por exemplo eh em seleção de pessoal são adotados testes que medem a capacidade do indivíduo;7,064950000000001;então podesenseleção opesido malsoocontado de teces que memem a capaciidareominno;tokodediminserestopisismasookokotastɛscimeneaapasata;[{'text': 'então', 'timestamp': (0.0, 0.12)}, {'text': 'podesenseleção', 'timestamp': (0.18, 1.92)}, {'text': 'opesido', 'timestamp': (2.08, 2.44)}, {'text': 'malsoocontado', 'timestamp': (2.5, 3.66)}, {'text': 'de', 'timestamp': (3.74, 3.78)}, {'text': 'teces', 'timestamp': (3.92, 4.44)}, {'text': 'que', 'timestamp': (4.84, 4.92)}, {'text': 'memem', 'timestamp': (5.02, 5.36)}, {'text': 'a', 'timestamp': (5.44, 5.46)}, {'text': 'capaciidareominno', 'timestamp': (5.52, 6.84)}];0,7647058823529411;0,7647058823529411;0,9058823529411765;0,4489795918367347
./audios/SP_EF_377_16.98447_21.73009.wav;16,98447;21,73009;então eu quero ver em que medida esse sujei::to consegue trabalhar:: em determina::da seção;então eu quero ver em que medida esse sujeito consegue trabalhar em determinada seção;4,745619999999999;ntão eu quero ter emenvida esse sujeito consegue trabalhar torminar  esacidada;eoɡateteimikitaɾeuʒesakpaannasasto;[{'text': 'ntão', 'timestamp': (0.02, 0.12)}, {'text': 'eu', 'timestamp': (0.16, 0.2)}, {'text': 'quero', 'timestamp': (0.26, 0.44)}, {'text': 'ter', 'timestamp': (0.54, 0.64)}, {'text': 'emenvida', 'timestamp': (0.9, 1.5)}, {'text': 'esse', 'timestamp': (1.66, 1.84)}, {'text': 'sujeito', 'timestamp': (1.92, 2.38)}, {'text': 'consegue', 'timestamp': (2.6, 2.94)}, {'text': 'trabalhar', 'timestamp': (3.06, 3.5)}, {'text': 'torminar', 'timestamp': (3.72, 4.08)}, {'text': 'esacidada', 'timestamp': (4.18, 4.66)}];0,5714285714285714;0,5714285714285714;0,7662337662337663;0,29411764705882354
./audios/SP_EF_377_23.30089_25.0472.wav;23,30089;25,0472;então eu dou um teste de capacidade;então eu dou um teste de capacidade;1,7463100000000011;etoeu no pensa e te pacidad;dumombexestapasaka;[{'text': 'etoeu', 'timestamp': (0.06, 0.34)}, {'text': 'no', 'timestamp': (0.38, 0.48)}, {'text': 'pensa', 'timestamp': (0.56, 0.76)}, {'text': 'e', 'timestamp': (0.86, 0.88)}, {'text': 'te', 'timestamp': (0.9, 0.96)}, {'text': 'pacidad', 'timestamp': (1.06, 1.5)}];1,0;1,0;1,0;0,45714285714285713
./audios/SP_EF_377_25.0472_34.07217.wav;25,0472;34,07217;verifico que ele:: não vai se sair muito bem porQUE... as:: tarefas do TESte são semelhantes às tarefas... da situação de trabalho;verifico que ele não vai se sair muito bem porque as tarefas do teste são semelhantes às tarefas da situação de trabalho;9,02497;aquele fipoque le  vai saanndo bem porque as parefas odeas  que são semelhantes pos carefas dasopação do trabalho;nipeiubanskanpɾiikuceaspaɾeodesosbiilosloskaɾeɾesdaspasotɾabal;[{'text': 'aquele', 'timestamp': (0.0, 0.18)}, {'text': 'fipoque', 'timestamp': (0.26, 0.66)}, {'text': 'le', 'timestamp': (0.78, 0.84)}, {'text': 'vai', 'timestamp': (1.26, 1.36)}, {'text': 'saanndo', 'timestamp': (1.6, 2.0)}, {'text': 'bem', 'timestamp': (2.12, 2.3)}, {'text': 'porque', 'timestamp': (2.48, 2.82)}, {'text': 'as', 'timestamp': (3.52, 3.7)}, {'text': 'parefas', 'timestamp': (3.82, 4.42)}, {'text': 'odeas', 'timestamp': (4.58, 5.18)}, {'text': 'que', 'timestamp': (5.32, 5.38)}, {'text': 'são', 'timestamp': (5.46, 5.54)}, {'text': 'semelhantes', 'timestamp': (5.68, 6.38)}, {'text': 'pos', 'timestamp': (6.46, 6.66)}, {'text': 'carefas', 'timestamp': (6.7, 7.14)}, {'text': 'dasopação', 'timestamp': (7.64, 8.26)}, {'text': 'do', 'timestamp': (8.34, 8.4)}, {'text': 'trabalho', 'timestamp': (8.46, 8.9)}];0,6818181818181818;0,6818181818181818;0,8762626262626263;0,325
./audios/SP_EF_377_34.42548_35.94177.wav;34,42548;35,94177;então eu fico mais (tranquila);então eu fico mais tranquila;1,516289999999998;u oparasauu;otobarsla;[{'text': 'u', 'timestamp': (0.14, 0.16)}, {'text': 'oparasauu', 'timestamp': (0.38, 1.3)}];1,0;1,0;1,0;0,75
./audios/SP_EF_377_35.94177_38.26271.wav;35,94177;38,26271;então eu estou percebendo a ca-pa-cidade dele;então eu estou percebendo a capacidade dele;2,3209400000000002;todo omo persevendo no da capacidade;otopeseenadakasla;[{'text': 'todo', 'timestamp': (0.06, 0.2)}, {'text': 'omo', 'timestamp': (0.3, 0.42)}, {'text': 'persevendo', 'timestamp': (0.46, 0.88)}, {'text': 'no', 'timestamp': (1.0, 1.06)}, {'text': 'da', 'timestamp': (1.1, 1.16)}, {'text': 'capacidade', 'timestamp': (1.24, 1.96)}];0,8571428571428571;0,8571428571428571;0,9761904761904762;0,4883720930232558
./audios/SP_EF_377_39.30777_42.48477.wav;39,30777;42,48477;agora eu posso... (querer medir) a realização dele;agora eu posso querer medir a realização dele;3,1769999999999996;agora eu folo qeeavarecapasno no tem;apboijalakasmob;[{'text': 'agora', 'timestamp': (0.06, 0.28)}, {'text': 'eu', 'timestamp': (0.38, 0.42)}, {'text': 'folo', 'timestamp': (0.48, 0.76)}, {'text': 'qeeavarecapasno', 'timestamp': (1.16, 2.66)}, {'text': 'no', 'timestamp': (2.72, 2.78)}, {'text': 'tem', 'timestamp': (2.84, 2.98)}];0,75;0,75;0,9166666666666666;0,5555555555555556
./audios/SP_EF_377_42.48477_43.2572.wav;42,48477;43,2572;no momento;no momento;0,77243;omem;om;[{'text': 'omem', 'timestamp': (1.22, 1.56)}];1,0;1,0;1,0;0,7
