path;start_sec;end_sec;mark;sentence;duration;prediction;phones;timestamps;wer;mer;wil;cer
./audios/SP_D2_396_0.07363_8.31933.wav;0,07363;8,31933;olha gente eu queria que vocês comenta::ssem como é que era os vê/ o vestuá::rio::... da época de vocês de mocinho;olha gente eu queria que vocês comentassem como é que era os vê o vestuário da época de vocês de mocinho;8,245700000000001;a gente eu ciria que vocês comentasse como é que era o veo vestuário da época de vocês de mocim;diumeposekomentakikomɛkeadusedunbestuaɾjodaɛppedvosestmsin;[{'text': 'a', 'timestamp': (0.06, 0.08)}, {'text': 'gente', 'timestamp': (0.2, 0.4)}, {'text': 'eu', 'timestamp': (0.5, 0.54)}, {'text': 'ciria', 'timestamp': (0.62, 0.84)}, {'text': 'que', 'timestamp': (0.94, 1.02)}, {'text': 'vocês', 'timestamp': (1.1, 1.38)}, {'text': 'comentasse', 'timestamp': (1.46, 2.28)}, {'text': 'como', 'timestamp': (2.68, 2.86)}, {'text': 'é', 'timestamp': (2.96, 2.98)}, {'text': 'que', 'timestamp': (3.14, 3.22)}, {'text': 'era', 'timestamp': (3.3, 3.4)}, {'text': 'o', 'timestamp': (3.48, 3.5)}, {'text': 'veo', 'timestamp': (3.74, 4.04)}, {'text': 'vestuário', 'timestamp': (4.24, 5.14)}, {'text': 'da', 'timestamp': (5.86, 5.92)}, {'text': 'época', 'timestamp': (6.06, 6.42)}, {'text': 'de', 'timestamp': (6.5, 6.56)}, {'text': 'vocês', 'timestamp': (6.62, 7.16)}, {'text': 'de', 'timestamp': (7.42, 7.48)}, {'text': 'mocim', 'timestamp': (7.56, 7.96)}];0,3333333333333333;0,3333333333333333;0,5333333333333334;0,125
./audios/SP_D2_396_8.43237_12.24106.wav;8,43237;12,24106;das diversas classes sociais... certo?;das diversas classes sociais certo;3,8086899999999986;das diversas classes sociais naci certo;dazdydɛtəsklaktəsosiaʃəsdɛ;[{'text': 'das', 'timestamp': (0.1, 0.24)}, {'text': 'diversas', 'timestamp': (0.32, 0.78)}, {'text': 'classes', 'timestamp': (0.92, 1.42)}, {'text': 'sociais', 'timestamp': (1.52, 2.04)}, {'text': 'naci', 'timestamp': (2.12, 2.36)}, {'text': 'certo', 'timestamp': (3.2, 3.54)}];0,2;0,16666666666666666;0,16666666666666663;0,14705882352941177
./audios/SP_D2_396_30.41651_31.02591.wav;30,41651;31,02591;[aham;aham;0,6094000000000008;era;ntd;[{'text': 'era', 'timestamp': (1.34, 1.54)}];1,0;1,0;1,0;0,75
./audios/SP_D2_396_52.86544_53.29451.wav;52,86544;53,29451;[uhum;aham;0,42907000000000295;essa daca;sn;[{'text': 'essa', 'timestamp': (1.0, 1.16)}, {'text': 'daca', 'timestamp': (1.24, 1.44)}];2,0;1,0;1,0;1,75
./audios/SP_D2_396_113.69893_114.04395.wav;113,69893;114,04395;[uhum;aham;0,345019999999991;eotova;jɒd;[{'text': 'eotova', 'timestamp': (1.04, 1.36)}];1,0;1,0;1,0;1,5
./audios/SP_D2_396_134.77824_135.19699.wav;134,77824;135,19699;uhum;aham;0,41874999999998863;aos;;[{'text': 'aos', 'timestamp': (1.04, 2.38)}];1,0;1,0;1,0;0,75
./audios/SP_D2_396_140.95178_141.39379.wav;140,95178;141,39379;uhum;aham;0,44200999999998203;uos;;[{'text': 'uos', 'timestamp': (1.02, 2.4)}];1,0;1,0;1,0;1,0
./audios/SP_D2_396_164.74163_165.031.wav;164,74163;165,031;uhum;aham;0,28937000000001944;uhos;;[{'text': 'uhos', 'timestamp': (1.02, 2.26)}];1,0;1,0;1,0;0,75
./audios/SP_D2_396_226.11021_226.43262.wav;226,11021;226,43262;certo;certo;0,32240999999999076;oo;;[{'text': 'oo', 'timestamp': (1.14, 2.24)}];1,0;1,0;1,0;0,8
./audios/SP_D2_396_232.72852_233.61281.wav;232,72852;233,61281;uhum;aham;0,8842899999999929;uhu;;[{'text': 'uhu', 'timestamp': (1.04, 1.46)}];1,0;1,0;1,0;0,75
./audios/SP_D2_396_244.44703_244.77824.wav;244,44703;244,77824;uhum;aham;0,33120999999999867;aaos;;[{'text': 'aaos', 'timestamp': (0.0, 2.3)}];1,0;1,0;1,0;0,75
