path;start_sec;end_sec;mark;sentence;duration;prediction;phones;timestamps;wer;mer;wil;cer
./audios/SP_DID_250_0.23907_19.87829.wav;0,23907;19,87829;professor Raul... nós gostaríamos primeiramente... que o senhor nos dissesse assim tudo o que o senhor souber... a respeito de::... dinheiro banco finanças... e::... qual o sistema que o senhor conhece de banco sistema interno o que o senhor tiver de:: de conhecimento dentro dessa área para contar para gente... nós gostaríamos que o senhor dissesse por favor;professor raul nós gostaríamos primeiramente que o senhor nos dissesse assim tudo o que o senhor souber a respeito de dinheiro banco finanças e qual o sistema que o senhor conhece de banco sistema interno o que o senhor tiver de de conhecimento dentro dessa área para contar para gente nós gostaríamos que o senhor dissesse por favor;19,639219999999998;professãr raome nós vassaríamos primeiramente se senhor nos dissesse assim tudo que sê souber a respeito de chineiro banco finanças e qual o sistema que o senhor conhece do banco o sistema interno o que se tiver de se conhecimento dentro dessa áreo pra contar pragente mas eu tan no seudicentosabe;ssəlhaodazbaaimusimedamesisomdisɛsesisuruksosobɛmaxeseskidiɲɛdubaːŋksinsiikɔlsisteːmsisiŋorkɔɲjaːsudbəŋksuseniteaːrnukkosivdikjesinsvɛndɛsaːrukokɔtapraʒɛpazrosɛnisedisɛsa;[{'text': 'professãr', 'timestamp': (0.04, 0.38)}, {'text': 'raome', 'timestamp': (0.48, 0.84)}, {'text': 'nós', 'timestamp': (1.46, 1.58)}, {'text': 'vassaríamos', 'timestamp': (1.64, 2.04)}, {'text': 'primeiramente', 'timestamp': (2.12, 2.8)}, {'text': 'se', 'timestamp': (3.0, 3.08)}, {'text': 'senhor', 'timestamp': (3.14, 3.3)}, {'text': 'nos', 'timestamp': (3.38, 3.46)}, {'text': 'dissesse', 'timestamp': (3.54, 3.94)}, {'text': 'assim', 'timestamp': (4.0, 4.18)}, {'text': 'tudo', 'timestamp': (4.38, 4.52)}, {'text': 'que', 'timestamp': (4.6, 4.66)}, {'text': 'sê', 'timestamp': (4.74, 4.8)}, {'text': 'souber', 'timestamp': (4.9, 5.18)}, {'text': 'a', 'timestamp': (5.58, 5.6)}, {'text': 'respeito', 'timestamp': (5.68, 6.14)}, {'text': 'de', 'timestamp': (6.26, 6.34)}, {'text': 'chineiro', 'timestamp': (7.04, 7.54)}, {'text': 'banco', 'timestamp': (7.7, 8.06)}, {'text': 'finanças', 'timestamp': (8.2, 8.8)}, {'text': 'e', 'timestamp': (9.44, 9.46)}, {'text': 'qual', 'timestamp': (10.14, 10.24)}, {'text': 'o', 'timestamp': (10.34, 10.36)}, {'text': 'sistema', 'timestamp': (10.44, 10.94)}, {'text': 'que', 'timestamp': (11.08, 11.14)}, {'text': 'o', 'timestamp': (11.2, 11.22)}, {'text': 'senhor', 'timestamp': (11.28, 11.5)}, {'text': 'conhece', 'timestamp': (11.6, 12.02)}, {'text': 'do', 'timestamp': (12.1, 12.16)}, {'text': 'banco', 'timestamp': (12.28, 12.56)}, {'text': 'o', 'timestamp': (12.6, 12.62)}, {'text': 'sistema', 'timestamp': (12.68, 13.0)}, {'text': 'interno', 'timestamp': (13.08, 13.6)}, {'text': 'o', 'timestamp': (13.74, 13.76)}, {'text': 'que', 'timestamp': (13.82, 13.9)}, {'text': 'se', 'timestamp': (14.0, 14.06)}, {'text': 'tiver', 'timestamp': (14.16, 14.4)}, {'text': 'de', 'timestamp': (14.6, 14.68)}, {'text': 'se', 'timestamp': (15.22, 15.3)}, {'text': 'conhecimento', 'timestamp': (15.38, 16.02)}, {'text': 'dentro', 'timestamp': (16.16, 16.32)}, {'text': 'dessa', 'timestamp': (16.36, 16.56)}, {'text': 'áreo', 'timestamp': (16.66, 16.8)}, {'text': 'pra', 'timestamp': (16.84, 16.94)}, {'text': 'contar', 'timestamp': (17.0, 17.2)}, {'text': 'pragente', 'timestamp': (17.28, 17.76)}, {'text': 'mas', 'timestamp': (18.12, 18.22)}, {'text': 'eu', 'timestamp': (18.28, 18.32)}, {'text': 'tan', 'timestamp': (18.38, 18.46)}, {'text': 'no', 'timestamp': (18.58, 18.62)}, {'text': 'seudicentosabe', 'timestamp': (18.68, 19.5)}];0,4482758620689655;0,4406779661016949;0,6318458417849898;0,21021021021021022
./audios/SP_DID_250_50.35711_50.57092.wav;50,35711;50,57092;hum;uh;0,21381000000000228;uho;b;[{'text': 'uho', 'timestamp': (1.02, 2.14)}];1,0;1,0;1,0;0,5
./audios/SP_DID_250_69.64085_69.84725.wav;69,64085;69,84725;hum;uh;0,20640000000000214;uo;;[{'text': 'uo', 'timestamp': (1.06, 2.14)}];1,0;1,0;1,0;0,5
./audios/SP_DID_250_96.17593_96.49096.wav;96,17593;96,49096;uhn uhn;uh uh;0,31503000000000725;uh;;[{'text': 'uh', 'timestamp': (1.02, 1.06)}];0,5;0,5;0,5;0,6
./audios/SP_DID_250_122.06128_122.60546.wav;122,06128;122,60546;uhn uhn;uh uh;0,5441799999999972;haham;;[{'text': 'haham', 'timestamp': (1.0, 1.34)}];1,0;1,0;1,0;1,0
./audios/SP_DID_250_222.57247_231.79258.wav;222,57247;231,79258;professor... quando um empregado... é demitido assim... de u::ma fábrica... ou de uma indústria... qual é a situação em que ele se encontra o senhor sabe?;professor quando um empregado é demitido assim de uma fábrica ou de uma indústria qual é a situação em que ele se encontra o senhor sabe;9,220109999999977;a pessoa quando um empregado é demitizo assim de ma fábrica ou de uma indústria qual é a situação em que ele se encontra sersába;rotesokondonpregdoliɛdentivisiʒumafaːbrikaodumendusɛkoɲsitasaintlisinkntosorsaːd;[{'text': 'a', 'timestamp': (0.12, 0.14)}, {'text': 'pessoa', 'timestamp': (0.16, 0.42)}, {'text': 'quando', 'timestamp': (0.6, 0.78)}, {'text': 'um', 'timestamp': (0.86, 0.9)}, {'text': 'empregado', 'timestamp': (0.96, 1.6)}, {'text': 'é', 'timestamp': (2.7, 2.72)}, {'text': 'demitizo', 'timestamp': (2.78, 3.24)}, {'text': 'assim', 'timestamp': (3.32, 3.5)}, {'text': 'de', 'timestamp': (4.16, 4.22)}, {'text': 'ma', 'timestamp': (4.56, 4.62)}, {'text': 'fábrica', 'timestamp': (4.78, 5.3)}, {'text': 'ou', 'timestamp': (5.66, 5.7)}, {'text': 'de', 'timestamp': (5.8, 5.86)}, {'text': 'uma', 'timestamp': (5.94, 6.02)}, {'text': 'indústria', 'timestamp': (6.1, 6.62)}, {'text': 'qual', 'timestamp': (7.02, 7.12)}, {'text': 'é', 'timestamp': (7.18, 7.2)}, {'text': 'a', 'timestamp': (7.26, 7.28)}, {'text': 'situação', 'timestamp': (7.34, 7.74)}, {'text': 'em', 'timestamp': (7.8, 7.84)}, {'text': 'que', 'timestamp': (7.88, 7.94)}, {'text': 'ele', 'timestamp': (7.98, 8.08)}, {'text': 'se', 'timestamp': (8.14, 8.2)}, {'text': 'encontra', 'timestamp': (8.24, 8.56)}, {'text': 'sersába', 'timestamp': (8.66, 9.14)}];0,2692307692307692;0,25925925925925924;0,3846153846153846;0,11029411764705882
./audios/SP_DID_250_346.60621_346.91783.wav;346,60621;346,91783;uhn uhn;uh uh;0,3116200000000049;haham;;[{'text': 'haham', 'timestamp': (0.98, 1.26)}];1,0;1,0;1,0;1,0
./audios/SP_DID_250_423.60086_423.80734.wav;423,60086;423,80734;(certo);certo;0,2064799999999991;boo;;[{'text': 'boo', 'timestamp': (1.1, 2.14)}];1,0;1,0;1,0;0,8
./audios/SP_DID_250_424.65908_430.71719.wav;424,65908;430,71719;quando um empregado professor ele sai por contra... por conta própria... quais os direitos que competem a ele?;quando um empregado professor ele sai por contra por conta própria quais os direitos que competem a ele;6,058109999999999;qando o empregado o professor ele sai por cona por conta própria quais os direitos que competem a ele;aapregadoprofesoredissaːpurkontrappurkntaprɒkɛkwasodiːdeːtskompɛʃɛl;[{'text': 'qando', 'timestamp': (0.0, 0.16)}, {'text': 'o', 'timestamp': (0.22, 0.24)}, {'text': 'empregado', 'timestamp': (0.32, 0.82)}, {'text': 'o', 'timestamp': (0.86, 0.88)}, {'text': 'professor', 'timestamp': (0.92, 1.34)}, {'text': 'ele', 'timestamp': (1.56, 1.68)}, {'text': 'sai', 'timestamp': (1.84, 1.98)}, {'text': 'por', 'timestamp': (2.08, 2.16)}, {'text': 'cona', 'timestamp': (2.28, 2.56)}, {'text': 'por', 'timestamp': (2.9, 3.0)}, {'text': 'conta', 'timestamp': (3.1, 3.34)}, {'text': 'própria', 'timestamp': (3.5, 3.98)}, {'text': 'quais', 'timestamp': (4.3, 4.48)}, {'text': 'os', 'timestamp': (4.56, 4.62)}, {'text': 'direitos', 'timestamp': (4.68, 5.0)}, {'text': 'que', 'timestamp': (5.08, 5.16)}, {'text': 'competem', 'timestamp': (5.24, 5.68)}, {'text': 'a', 'timestamp': (5.74, 5.76)}, {'text': 'ele', 'timestamp': (5.84, 5.98)}];0,2222222222222222;0,21052631578947367;0,3421052631578947;0,06796116504854369
./audios/SP_DID_250_492.14_492.47584.wav;492,14;492,47584;uhn uhn;uh uh;0,3358400000000188;aham;;[{'text': 'aham', 'timestamp': (1.02, 1.28)}];1,0;1,0;1,0;0,8
