start_sec;end_sec;mark;text;duration
0,07363;8,31933;olha gente eu queria que vocês comenta::ssem como é que era os vê/ o vestuá::rio::... da época de vocês de mocinho;olha gente eu queria que vocês comentassem como é que era os vê o vestuário da época de vocês de mocinho;8,245700000000001
8,43237;12,24106;das diversas classes sociais... certo?;das diversas classes sociais certo;3,8086899999999986
30,41651;31,02591;[aham;aham;0,6094000000000008
52,86544;53,29451;[uhum;aham;0,42907000000000295
113,69893;114,04395;[uhum;aham;0,345019999999991
134,77824;135,19699;uhum;aham;0,41874999999998863
140,95178;141,39379;uhum;aham;0,44200999999998203
164,74163;165,031;uhum;aham;0,28937000000001944
226,11021;226,43262;certo;certo;0,32240999999999076
232,72852;233,61281;uhum;aham;0,8842899999999929
244,44703;244,77824;uhum;aham;0,33120999999999867
268,88582;269,39587;uhum;aham;0,5100499999999784
271,95352;272,49881;uhum;aham;0,5452899999999659
308,98526;309,28943;[hum;uh;0,30416999999999916
312,76409;313,34833;[(ai meu Deus);ai meu deus;0,5842399999999657
329,85613;330,29776;[uhum;aham;0,4416299999999751
340,01584;340,45365;uhum;aham;0,4378099999999563
364,06498;364,42958;uhum;aham;0,3645999999999958
394,97064;397,26982;a senhora lembra como era o unifor::me da senhora?;a senhora lembra como era o uniforme da senhora;2,2991799999999785
403,12777;403,54852;[uhum;aham;0,4207499999999982
406,78608;406,99959;hum;uh;0,2135099999999852
412,91422;413,39818;[uhum;aham;0,4839600000000246
440,62127;440,92019;uhum;aham;0,2989200000000096
495,79925;496,30884;é::;é;0,5095900000000029
510,56486;510,89509;hum;uh;0,3302299999999718
522,85556;525,48223;[e o que era uma moça escandalosa naquela [época?;e o que era uma moça escandalosa naquela época;2,62666999999999
525,69818;527,09313;era só no trajar?;era só no trajar;1,3949499999999944
602,35355;602,87592;hum;uh;0,5223699999999099
657,76643;658,29126;uhum;aham;0,5248299999999517
680,28073;680,5663;uhum;aham;0,285570000000007
768,36593;777,26401;e a dona Aída a senhora lembra assim de alguma toalete... muito bonita que a senhora tenha gosta::do que tenha ficado... na memória?;e a dona aída a senhora lembra assim de alguma toalete muito bonita que a senhora tenha gostado que tenha ficado na memória;8,898079999999936
779,16931;779,62157;uhum;aham;0,45226000000002387
793,99572;794,64563;uhum;aham;0,6499099999999771
802,18817;802,44947;hum;uh;0,26130000000000564
828,92206;829,45473;uhum;aham;0,5326700000000528
841,19045;841,52211;[(certo);certo;0,33165999999994256
858,89101;859,50743;[sutiã?;sutiã;0,6164199999999482
860,4957;860,96211;[ah;ah;0,4664099999999962
884,14611;884,61804;uhum;aham;0,47192999999992935
904,80091;905,70543;tinha muitas?;tinha muitas;0,904519999999934
917,22992;917,77263;[uhum;aham;0,5427100000000564
1044,5001;1045,08301;uhum;aham;0,5829100000000835
1058,00322;1060,37305;uma orientação alemã né? (nos [valores);uma orientação alemã né nos valores;2,3698299999998653
1060,37305;1062,00908;[é uma orientação alemã;é uma orientação alemã;1,636030000000119
1133,23681;1133,98991;[mas;mas;0,753099999999904
1205,25024;1205,72141;uhum;aham;0,4711700000000292
