start_sec;end_sec;mark;text;duration
0,00482;3,22667;gostaríamos que dessem as suas opiniões a respeito de televisão;gostaríamos que dessem as suas opiniões a respeito de televisão;3,22185
805,23519;808,13254;e como vocês veem a evolução da tevê?;e como vocês veem a evolução da tevê;2,8973499999999603
1656,87414;1658,40387;e sobre o cinema?;e sobre o cinema;1,5297300000001997
1844,35742;1846,76004;a que se deve esse hiato que a senhora mencionou?;a que se deve esse hiato que a senhora mencionou;2,4026199999998425
1847,16;1848,23969;esse hiato;esse hiato;1,0796900000000278
2148,18372;2149,92116;(e)... e quanto ao teatro?;e e quanto ao teatro;1,7374399999998786
2480,01325;2481,69354;não estava indo para o teatro né?;não estava indo para o teatro né;1,680290000000241
2484,12706;2489,58442;e o que vocês acham que seria... uma televisão ideal numa comunidade como São Paulo?;e o que vocês acham que seria uma televisão ideal numa comunidade como são paulo;5,457360000000335
2965,04443;2968,42306;e programas como o Sílvio Santos como vocês entendem?;e programas como o sílvio santos como vocês entendem;3,3786300000001575
3216,18658;3220,95303;e e só para terminar vocês acham que no futuro a tevê vai realmente sobrepujar o cinema?;e e só para terminar vocês acham que no futuro a tevê vai realmente sobrepujar o cinema;4,766450000000077
3223,15848;3225,77033;aqui no nosso caso principalmente;aqui no nosso caso principalmente;2,6118499999997766
0,00482;3,22667;gostaríamos que dessem as suas opiniões a respeito de televisão;gostaríamos que dessem as suas opiniões a respeito de televisão;3,22185
805,23519;808,13254;e como vocês veem a evolução da tevê?;e como vocês veem a evolução da tevê;2,8973499999999603
1656,87414;1658,40387;e sobre o cinema?;e sobre o cinema;1,5297300000001997
1844,35742;1845,67023;a que se deve esse hiato;a que se deve esse hiato;1,3128099999998994
1845,67023;1846,76004;que a senhora mencionou?;que a senhora mencionou;1,089809999999943
1847,16;1848,23969;esse hiato;esse hiato;1,0796900000000278
2148,18372;2148,29374;(e);e;0,11002000000007683
2148,58285;2149,92116;e quanto ao teatro?;e quanto ao teatro;1,3383100000000923
2150,38678;2151,88569;poderiam comentar alguma coisa?;poderiam comentar alguma coisa;1,4989100000002509
2480,01325;2481,48109;não estava indo para o teatro;não estava indo para o teatro;1,4678400000002512
2481,48109;2481,69354;né?;né;0,2124499999999898
2484,12706;2486,17232;e o que vocês acham que seria;e o que vocês acham que seria;2,045260000000326
2486,45965;2487,6673;uma televisão ideal;uma televisão ideal;1,2076500000002852
2487,6673;2489,58442;numa comunidade como São Paulo?;numa comunidade como são paulo;1,917120000000068
2754,34643;2756,16399;vocês acham então que o noticiário;vocês acham então que o noticiário;1,8175599999999577
2965,04443;2967,00441;e programas como o Sílvio Santos;e programas como o sílvio santos;1,9599800000000869
2967,00441;2968,42306;como vocês entendem?;como vocês entendem;1,4186500000000706
3214,72237;3215,84871;antipsicológico;antipsicológico;1,1263400000002548
3216,18658;3217,18066;e e só para terminar;e e só para terminar;0,9940799999999399
3217,18066;3220,95303;vocês acham que no futuro a tevê vai realmente sobrepujar o cinema?;vocês acham que no futuro a tevê vai realmente sobrepujar o cinema;3,7723700000001372
3223,15848;3225,77033;aqui no nosso caso principalmente;aqui no nosso caso principalmente;2,6118499999997766
4,70344;15,68396;olha Isa eu... como você sabe... u::ma pessoa um diretor lá da Folha... certa feita me chamou... e me incumbiu de escrever sobre televisão;olha isa eu como você sabe uma pessoa um diretor lá da folha certa feita me chamou e me incumbiu de escrever sobre televisão;10,980520000000002
16,37625;24,30865;o que me parece é que na ocasião quando ele me incumbiu disso... ele pensou... que ele ia::... ficar em face de uma recusa;o que me parece é que na ocasião quando ele me incumbiu disso ele pensou que ele ia ficar em face de uma recusa;7,932400000000001
35,09872;38,07299;como todo intelectual realmente esnoba;como todo intelectual realmente esnoba;2,974269999999997
38,54796;43,65138;mas acontece... que eu já tinha visto durante muito tempo televisão;mas acontece que eu já tinha visto durante muito tempo televisão;5,10342
44,63312;50,15383;porque:: houve uma época na minha vida (em) que a literatura:: me fazia prestar muita atenção;porque houve uma época na minha vida em que a literatura me fazia prestar muita atenção;5,520710000000001
50,51083;52,26;e eu queria era uma fuga;e eu queria era uma fuga;1,7491699999999994
52,26;58,2;então a minha fuga... era me deitar na cama... ligar o:: receptor e ficar vendo;então a minha fuga era me deitar na cama ligar o receptor e ficar vendo;5,940000000000005
58,2;59,00302;ficar vendo;ficar vendo;0,8030199999999965
59,84722;75,3633;e::... aí eu comecei a prestar atenção naquela tela pequena... vi... não só que já se fazia muita coisa boa e também muita coisa ruim é claro... mas:: vi também todas as possibilidades::... que aquele veículo... ensejava;e aí eu comecei a prestar atenção naquela tela pequena vi não só que já se fazia muita coisa boa e também muita coisa ruim é claro mas vi também todas as possibilidades que aquele veículo ensejava;15,516079999999995
75,3633;78,56349;e que estavam ali laTENtes para serem aproveitados;e que estavam ali latentes para serem aproveitados;3,2001900000000063
79,24;84,39297;agora voCÊ... foi dos tempos heroicos... da mencionada luta;agora você foi dos tempos heroicos da mencionada luta;5,1529700000000105
132,21918;132,56003;é;é;0,3408500000000174
144,55621;144,79246;é;é;0,2362500000000125
187,47481;211,22737;e:: uma vez:: que:: nós estamos aqui dando um depoimento sobre esse aspecto de linGUAgem... eu já enfoquei... na nas minhas crônicas da Folha... a pedra no caminho... que é... a:: a pronúncia... tão diferente... e mesmo... a maneira de falar as SINgularidades que tem cada região do país;e uma vez que nós estamos aqui dando um depoimento sobre esse aspecto de linguagem eu já enfoquei na nas minhas crônicas da folha a pedra no caminho que é a a pronúncia tão diferente e mesmo a maneira de falar as singularidades que tem cada região do país;23,752560000000017
211,55004;218,11955;e e e que como isso constitui numa PEdra no caminho... quando é passado em termos de arte cênica;e e e que como isso constitui numa pedra no caminho quando é passado em termos de arte cênica;6,569510000000008
218,43927;222,40288;e no caso televisão uma vez que a televisão vai para o Brasil inteiro... não é?;e no caso televisão uma vez que a televisão vai para o brasil inteiro não é;3,963610000000017
222,88;226,46675;ar/ as redes... das grandes emissoras cobrem o Brasil inteiro;ar as redes das grandes emissoras cobrem o brasil inteiro;3,586749999999995
226,83021;230,95411;então... vôs/ --não sei se vocês acompanharam a polêmica em torno de Gabriela;então vôs não sei se vocês acompanharam a polêmica em torno de gabriela;4,123899999999992
252,26116;257,73807;depois ao correr da novela... eu tenho a impressão que eles foram aparando essas arestas;depois ao correr da novela eu tenho a impressão que eles foram aparando essas arestas;5,476910000000004
258,06822;259,91056;mas a verdade... é esta;mas a verdade é esta;1,8423399999999788
260,2815;267,4457;é no no:: por exemplo se... estão gravando agora este:: está passando está passando agora em São Paulo O Grito não é?;é no no por exemplo se estão gravando agora este está passando está passando agora em são paulo o grito não é;7,164199999999994
267,4457;269,05263;no no Brasil todo aliás;no no brasil todo aliás;1,606930000000034
269,05263;272,90905;O Grito de Jorge Andrade que é um excelente autor e um autor paulista;o grito de jorge andrade que é um excelente autor e um autor paulista;3,8564199999999573
273,51611;279,15386;pois bem uma grande atriz que é a Maria Fernanda... faz... uma paulista de quatrocentos anos;pois bem uma grande atriz que é a maria fernanda faz uma paulista de quatrocentos anos;5,637749999999983
279,49354;285,24188;eXAtamente com a linguagem que você assinalou... de esses sibilantes como cobras;exatamente com a linguagem que você assinalou de esses sibilantes como cobras;5,748339999999985
292,72;320,89394;então choca demais aquela paulista quatrocenTOna que ele faz bem griFAdo... aliás de uma maneira um pouco calcada demais porque esse tipo acho que já se diluiu nem existe mais... mas... fica fica muito falso ver-se então uma paulista... éh:: que faz questão de morar:: na casa em que moraram seus ancestrais... embora seja na borda do Minhocão... ela faz questão... porque foi ali que os pais moraram por sinal;então choca demais aquela paulista quatrocentona que ele faz bem grifado aliás de uma maneira um pouco calcada demais porque esse tipo acho que já se diluiu nem existe mais mas fica fica muito falso verse então uma paulista eh que faz questão de morar na casa em que moraram seus ancestrais embora seja na borda do minhocão ela faz questão porque foi ali que os pais moraram por sinal;28,17393999999996
320,89394;325,61257;então muito conservadora... falando como uma carioca com esses sibilantes;então muito conservadora falando como uma carioca com esses sibilantes;4,718630000000019
