start_sec;end_sec;mark;text;duration
0,0048;20,6794;seu Nílton... nós gostaríamos que o senhor contasse para gente... todo seu ciclo de vida... desde a inFÂNcia adolesCÊNcia maturiDAde época de casaMENto como é que FOI... como é que o senhor conheceu sua esposa como foi o casaMEN::to... ahn:: a sua adolescência enfim TUdo que o senhor podia contar para gente assim de interessante nós gostaríamos que o senhor contasse por favor;seu nílton nós gostaríamos que o senhor contasse para gente todo seu ciclo de vida desde a infância adolescência maturidade época de casamento como é que foi como é que o senhor conheceu sua esposa como foi o casamento ah a sua adolescência enfim tudo que o senhor podia contar para gente assim de interessante nós gostaríamos que o senhor contasse por favor;20,6746
37,50473;37,94247;uhn uhn;uh uh;0,437739999999998
52,44112;52,81815;uhn uhn;uh uh;0,37703000000000486
126,49178;127,13566;uhn uhn;uh uh;0,6438799999999958
831,22747;831,44004;uhn;uh;0,21256999999991422
962,11098;967,54775;seu Nílton como é que foi:: realizado o casamen::to a cerimô::nia como é que foi feito?;seu nílton como é que foi realizado o casamento a cerimônia como é que foi feito;5,43676999999991
1463,75066;1464,58527;uhn::;uh;0,8346100000001115
1500,14358;1506,30538;eu queria saber o:: que que o senhor acha... por exemplo da mocidade atual comparada com a do senhor?;eu queria saber o que que o senhor acha por exemplo da mocidade atual comparada com a do senhor;6,161800000000085
1506,42619;1511,0075;o senhor acha que há alguma diferen::ça dos jovens o que que o senhor nota de mais diferente?;o senhor acha que há alguma diferença dos jovens o que que o senhor nota de mais diferente;4,58131000000003
1757,56078;1762,4178;seu Nílton o que que o senhor teria de:: interessante para falar para gente a respeito dos seus filhos?;seu nílton o que que o senhor teria de interessante para falar para gente a respeito dos seus filhos;4,85701999999992
1762,4178;1767,77113;desde a época que eles nasce::ram... como é que foi a gravidez da sua espo::sa tudo;desde a época que eles nasceram como é que foi a gravidez da sua esposa tudo;5,353330000000142
1889,60401;1890,30342;uhn uhn;uh uh;0,6994099999999435
2316,01515;2316,80344;(vai indo);vai indo;0,7882899999999609
2322,17826;2326,2085;seu Nílton e sobre seus antepassados quê que o senhor teria para nos contar?;seu nílton e sobre seus antepassados quê que o senhor teria para nos contar;4,030240000000049
2326,32259;2328,63296;sobre seus avó::s bisavó::s;sobre seus avós bisavós;2,3103699999996934
2415,7929;2416,17992;uhn uhn;uh uh;0,3870200000001205
0,0048;0,51825;seu Nílton;seu nílton;0,51345
0,77664;3,06758;nós gostaríamos que o senhor contasse para gente;nós gostaríamos que o senhor contasse para gente;2,29094
3,28181;4,92778;todo seu ciclo de vida;todo seu ciclo de vida;1,6459700000000002
5,3971;6,7381;desde a inFÂNcia;desde a infância;1,3410000000000002
6,7381;7,60677;adolesCÊNcia;adolescência;0,8686699999999998
7,60677;8,58992;maturiDAde;maturidade;0,9831499999999993
8,58992;9,85693;época de casaMENto;época de casamento;1,2670100000000009
9,85693;10,804;como é que FOI;como é que foi;0,9470700000000001
11,17628;12,40447;como é que o senhor conheceu sua esposa;como é que o senhor conheceu sua esposa;1,2281899999999997
12,40447;14,0568;como foi o casaMEN::to;como foi o casamento;1,652330000000001
14,67617;15,00911;ahn::;ah;0,3329399999999989
