start_sec;end_sec;mark;text;duration
0,22556;2,48955;(...) relacional... não é?;relacional não é;2,2639899999999997
4,4;15,0795;que está subjacente no comportamento... e de certa forma... influencia esse comportamento;que está subjacente no comportamento e de certa forma influencia esse comportamento;10,679499999999999
19,85007;49,16856;na última::... parte... da::s das aulas de::... terça-feira passada tinha muito pouca gente... mas vocês não viram então um texto que eu analisei... de Benjamin Whorf... sobre os hopi;na última parte das das aulas de terçafeira passada tinha muito pouca gente mas vocês não viram então um texto que eu analisei de benjamin whorf sobre os hopi;29,31849
50,82129;51,65546;--quem estava aqui?;quem estava aqui;0,8341700000000003
55,59331;56,93512;então quem me diz alguma coisa?;então quem me diz alguma coisa;1,3418099999999953
56,93512;58,39727;vamos ajudar os colegas--;vamos ajudar os colegas;1,4621500000000012
59,71257;72,58807;qual é a diferença entre a forma de pensar dos hopi... e a forma de pensar dos indivíduos que pertencem... a grupos integrados na tradição cultural do ocidente?;qual é a diferença entre a forma de pensar dos hopi e a forma de pensar dos indivíduos que pertencem a grupos integrados na tradição cultural do ocidente;12,875500000000002
74,69602;75,06468;hã?;ah;0,36865999999999133
96,48;101,07862;você já está saltando sobre o aspecto linguístico para chegar nas consequências não é?;você já está saltando sobre o aspecto linguístico para chegar nas consequências não é;4,598619999999997
112,12;112,6592;certo;certo;0,5391999999999939
113,32;115,59684;não existe passado presente e futuro;não existe passado presente e futuro;2,276840000000007
116,96526;125,63871;agora me diga uma coisa... eles não têm ideia então ninguém se casa por exemplo marca a data do casamento e não se casa porque não tem ideia do futuro?;agora me diga uma coisa eles não têm ideia então ninguém se casa por exemplo marca a data do casamento e não se casa porque não tem ideia do futuro;8,673450000000003
153,46703;153,96262;exato;exato;0,49558999999999287
154,57926;169,45763;aqui o Whorf diz... não há ideia então... de um conTInuum... compreendem?... isto é... alguma coisa que se perde numa perspectiva infinita às nossas costas;aqui o whorf diz não há ideia então de um continuum compreendem isto é alguma coisa que se perde numa perspectiva infinita às nossas costas;14,87836999999999
170,30314;171,02309;que é o passado;que é o passado;0,719949999999983
172,83216;176,67919;alguma coisa que é um ponto onde nós estamos... certo?;alguma coisa que é um ponto onde nós estamos certo;3,847030000000018
177,47783;187,8312;e alguma coisa que se dirige... para um horizonte e se perde no fim do horizonte... que nós chamamos de futuro... certo?;e alguma coisa que se dirige para um horizonte e se perde no fim do horizonte que nós chamamos de futuro certo;10,353369999999984
189,65883;198,78615;isto é... como eu disse a vocês... uma das ideias fundamentais no ocidente... é a ideia de viagem;isto é como eu disse a vocês uma das ideias fundamentais no ocidente é a ideia de viagem;9,127319999999997
199,90587;201,37598;a ideia de peregrinação;a ideia de peregrinação;1,4701100000000054
203,37942;208,7457;nós podemos aproximar isto então... da literatura religiosa do ocidente;nós podemos aproximar isto então da literatura religiosa do ocidente;5,366279999999989
209,76505;213,13183;''nossa vida é um via/ é uma viagem pelo vale de lágrimas'';nossa vida é um via é uma viagem pelo vale de lágrimas;3,3667800000000057
213,13183;214,08;--vocês já não ouviram isso?--;vocês já não ouviram isso;0,9481700000000046
214,08;219,98715;tem alguns católicos que... vão à igreja ao domingo... e ouvem sermões não é?;tem alguns católicos que vão à igreja ao domingo e ouvem sermões não é;5,9071500000000015
219,98715;236,23135;esta ideia da viagem eu creio que tenha uma importância imensa... em todas as mitologias que influenciaram... i::sto este todo extremamente complexo... que se chama... a civilização ocidental;esta ideia da viagem eu creio que tenha uma importância imensa em todas as mitologias que influenciaram isto este todo extremamente complexo que se chama a civilização ocidental;16,244199999999978
238,32939;256,39846;uma das primeiras... obras literárias que se conhece da humanidade... é a epopeia de Gilgamesh... que::... foi escrita em língua assíria se não me engano ou sumeriana não sei em que diabo de língua foi escrita;uma das primeiras obras literárias que se conhece da humanidade é a epopeia de gilgamesh que foi escrita em língua assíria se não me engano ou sumeriana não sei em que diabo de língua foi escrita;18,06907000000001
257,02025;259,46536;e que aliás até hoje se lê com:: agrado;e que aliás até hoje se lê com agrado;2,4451099999999997
262,09364;268,44328;em que a::... Gilgamesh tem um amigo que chama-se Enquidu esse amigo... era imortal;em que a gilgamesh tem um amigo que chamase enquidu esse amigo era imortal;6,349640000000022
269,66669;272,32017;e ela tinha a simplicidade dos animais;e ela tinha a simplicidade dos animais;2,653480000000002
273,07488;277,70648;de repente ele conhece a mulher e através da mulher... a doença a morte;de repente ele conhece a mulher e através da mulher a doença a morte;4,631599999999992
277,70648;284,9547;são lendas... que PREexistiram à elaboração da Bíblia... e tiveram uma influência muito grande sobre a Bíblia;são lendas que preexistiram à elaboração da bíblia e tiveram uma influência muito grande sobre a bíblia;7,248220000000003
285,84;287,10753;daí chega a serpente;daí chega a serpente;1,267530000000022
287,10753;289,75449;ele vai em busca da imortalidade Gilgamesh;ele vai em busca da imortalidade gilgamesh;2,6469599999999787
291,48;295,70976;e a serpente rouba a imortalidade dele a serpente se torna imortal;e a serpente rouba a imortalidade dele a serpente se torna imortal;4,229759999999999
297,39204;306,03997;mas enfim... a estrutura da narrativa é uma estrutura de uma viagem... cheia de percalços cheias de aventuras;mas enfim a estrutura da narrativa é uma estrutura de uma viagem cheia de percalços cheias de aventuras;8,647929999999974
306,44;315,56547;vocês pegam a literatura do Ocidente toda... Odisseia por exemplo... a Eneida né?... há toda esta ideia de viagem;vocês pegam a literatura do ocidente toda odisseia por exemplo a eneida né há toda esta ideia de viagem;9,125470000000007
315,78637;318,28099;isto tem uma influência muito grande eu creio;isto tem uma influência muito grande eu creio;2,4946199999999976
319,48;320,71013;--eu estou chutando aqui um pouco--;eu estou chutando aqui um pouco;1,2301299999999742
323,68;328,7305;isto tem um::... uns resquícios desta teoria... nalguns autores;isto tem um uns resquícios desta teoria nalguns autores;5,0504999999999995
329,93819;333,39908;mas em suma... eu acho uma coisa muito interessante como sugestão;mas em suma eu acho uma coisa muito interessante como sugestão;3,4608900000000062
333,39908;334,54927;como hipótese de trabalho;como hipótese de trabalho;1,1501899999999523
335,47094;344,67234;a ideia de que a viagem os povos do ocidente... que... viveram... em constantes:: andanças::;a ideia de que a viagem os povos do ocidente que viveram em constantes andanças;9,201400000000035
345,65275;349,28994;Europa é uma península da Ásia que sofreu todas as invasões possíveis;europa é uma península da ásia que sofreu todas as invasões possíveis;3,6371899999999755
350,24589;357,99156;então esta mobilidade deu uma certa ideia de mobilidade social... e de mobilidade no tempo e o espaço;então esta mobilidade deu uma certa ideia de mobilidade social e de mobilidade no tempo e o espaço;7,745670000000018
358,68534;370,5162;até nós chegarmos às ideias de tempo e espaço... que existem na nossa cultura... e que são o fruto da elaboração milenar do pensamento;até nós chegarmos às ideias de tempo e espaço que existem na nossa cultura e que são o fruto da elaboração milenar do pensamento;11,83086000000003
371,34849;380,27728;chegou a uma forma... precisa... por exemplo em relação ao espaço... num homem que se chamava René Descartes... compreendem?;chegou a uma forma precisa por exemplo em relação ao espaço num homem que se chamava rené descartes compreendem;8,928789999999992
381,03899;393,48406;mas antes de René Descartes houve um outro que chamava-se Leonardo da Vinci... e que deu a forma final a uma noção pers-pec-ti-va... certo?;mas antes de rené descartes houve um outro que chamavase leonardo da vinci e que deu a forma final a uma noção perspectiva certo;12,445069999999987
394,24282;396,52992;todos vocês conhecem a Santa Ceia pelo menos;todos vocês conhecem a santa ceia pelo menos;2,2871000000000095
396,99834;398,41147;para não falar na Gioconda não é?;para não falar na gioconda não é;1,4131300000000238
399,42773;406,72248;a Gioconda... segundo Claude Valéry... foi o pedaço de tela tecida que mais asneiras ouviu no mundo;a gioconda segundo claude valéry foi o pedaço de tela tecida que mais asneiras ouviu no mundo;7,294750000000022
407,78908;411,73464;todo mundo em Paris chega frente à Gioconda... e diz asneiras (né?);todo mundo em paris chega frente à gioconda e diz asneiras né;3,9455600000000004
413,23495;417,94114;mas na Gioconda... mas especialmente na Ceia... há essa... perspectiva;mas na gioconda mas especialmente na ceia há essa perspectiva;4,706189999999992
418,6491;421,18481;vocês aprenderam ainda desenho nas escolas;vocês aprenderam ainda desenho nas escolas;2,5357100000000514
421,18481;427,31113;na minha época... havia as famosas perspectivas de ponto de fuga vocês aprenderam isso nas aulas de desenho?;na minha época havia as famosas perspectivas de ponto de fuga vocês aprenderam isso nas aulas de desenho;6,126319999999964
428,27434;433,19085;os pontos de fuga... as coisas que vêm do fundo... até nós;os pontos de fuga as coisas que vêm do fundo até nós;4,916510000000017
434,98126;438,72862;esta ideia de espaço... não é universal;esta ideia de espaço não é universal;3,747359999999958
