start_sec;end_sec;mark;text;duration
0,05081;6,39441;dona Ivone a senhora costuma ir ao cine::ma tea::tro?... o que que a senhora o que que a senhora mais gosta que tipo de fil::me?;dona ivone a senhora costuma ir ao cinema teatro o que que a senhora o que que a senhora mais gosta que tipo de filme;6,3435999999999995
30,88746;31,37657;(sei);sei;0,48911000000000016
51,62734;52,28077;é verdade;é verdade;0,6534300000000002
52,58066;57,1646;e que tipo de PEça a senhora mais GOSta e o que chama mais a atenção da senhora quando a senhora vai ao teatro?;e que tipo de peça a senhora mais gosta e o que chama mais a atenção da senhora quando a senhora vai ao teatro;4,583939999999998
96,44;96,74647;uhum;aham;0,30647000000000446
138,54522;138,77854;não;não;0,23331999999999198
163,25105;163,87256;Parado no Ar;parado no ar;0,6215100000000007
274,49169;275,42727;não assisti;não assisti;0,9355800000000158
312,39513;312,7136;uhum;aham;0,3184699999999907
327,6408;333,15988;como é que o público se manifesta... ou depois de terminado um a::to no interva::lo ou depois da peça?;como é que o público se manifesta ou depois de terminado um ato no intervalo ou depois da peça;5,519079999999974
333,7814;335,41358;no que diz respeito a peça em si;no que diz respeito a peça em si;1,6321800000000053
460,44;462,34;a carinha dela ((risos));a carinha dela;1,8999999999999773
478,30594;481,79555;e como é que a senhora Acha que é elaborada uma peça de teatro?;e como é que a senhora acha que é elaborada uma peça de teatro;3,4896099999999706
515,28786;523,65405;e tirando a parte do artista a senhora acha que devem haver outros cuidados para a peça... ser bem:: bem apresenTAda obter um bom sucesso?;e tirando a parte do artista a senhora acha que devem haver outros cuidados para a peça ser bem bem apresentada obter um bom sucesso;8,36618999999996
612,43808;612,99298;uhum;aham;0,5548999999999751
648,65276;648,99045;uhum;aham;0,337690000000066
650,16141;655,0216;e:: quem que ga/ a senhora acha que cuida de toda essa parte anterior... à estreia?;e quem que ga a senhora acha que cuida de toda essa parte anterior à estreia;4,860189999999989
693,5804;693,97156;uhum;aham;0,3911599999998998
708,23985;708,73854;certo;certo;0,4986899999998968
709,80771;712,82596;e a senhora nota alguma diferença entre um teatro e outro?;e a senhora nota alguma diferença entre um teatro e outro;3,0182499999999663
712,82596;719,80578;por exemplo quanto à:: parte em que o público fi::ca a parte estética a senhora acha que há diferença entre um e o::utro ou todos são do mesmo tipo?;por exemplo quanto à parte em que o público fica a parte estética a senhora acha que há diferença entre um e outro ou todos são do mesmo tipo;6,979820000000018
775,68355;776,15691;uhum;aham;0,4733600000000706
779,064;779,68;certo;certo;0,6159999999999854
912,80303;917,16;e onde é que as bailarinas se troca::vam se maquia::vam? há um lugar específico ou não?;e onde é que as bailarinas se trocavam se maquiavam há um lugar específico ou não;4,356969999999933
931,28314;931,6;ahn;ah;0,3168600000000197
1147,64886;1156,77903;a senhora Acha que houve alguma... evolução:: ou::... sei lá ou que tenha regredido o cinema atualMENte em comparação ao cinema há uns anos anteriOres?;a senhora acha que houve alguma evolução ou sei lá ou que tenha regredido o cinema atualmente em comparação ao cinema há uns anos anteriores;9,130169999999907
1157,15888;1159,86576;e no que se/ e no que:: seria notada essa diferença?;e no que se e no que seria notada essa diferença;2,7068799999999555
1199,11557;1202,77922;e no que diz respeito à monTA::gem a senhora nota alguma diferença ou não?;e no que diz respeito à montagem a senhora nota alguma diferença ou não;3,6636499999999614
1405,31093;1410,212;e quem a senhora acha que é responsável... para:: por um bom sucesso de um filme?;e quem a senhora acha que é responsável para por um bom sucesso de um filme;4,901069999999891
1431,11313;1435,66394;se fosse passar um filme para crianças que tipo de filme a senhora acha que deveria ser passado?;se fosse passar um filme para crianças que tipo de filme a senhora acha que deveria ser passado;4,550809999999956
1480,34359;1480,64635;é;é;0,3027600000000348
2013,33965;2021,81756;dona Ivone além do filme em SI a senhora acha que há alguma apresentação anteriOR... que PRENde a atenção do PÚblico e até que ponto ela possa ser interessante ou não?;dona ivone além do filme em si a senhora acha que há alguma apresentação anterior que prende a atenção do público e até que ponto ela possa ser interessante ou não;8,477910000000065
2060,87528;2063,3918;e a televisão? o que é que a senhora acha da televisão?;e a televisão o que é que a senhora acha da televisão;2,516519999999673
2063,78722;2065,8105;que t/ que tipo de programa a senhora gosta?;que t que tipo de programa a senhora gosta;2,023279999999886
0,05081;0,76074;dona Ivone;dona ivone;0,70993
0,76074;2,21341;a senhora costuma ir ao cine::ma;a senhora costuma ir ao cinema;1,4526700000000001
2,21341;3,05408;tea::tro?;teatro;0,8406699999999998
3,40165;3,9788;o que que a senhora;o que que a senhora;0,57715
3,9788;6,39441;o que que a senhora mais gosta que tipo de fil::me?;o que que a senhora mais gosta que tipo de filme;2,4156099999999996
30,88746;31,37657;(sei);sei;0,48911000000000016
51,62734;52,28077;é verdade;é verdade;0,6534300000000002
52,58066;54,3878;e que tipo de PEça a senhora mais GOSta;e que tipo de peça a senhora mais gosta;1,8071399999999969
54,3878;57,1646;e o que chama mais a atenção da senhora quando a senhora vai ao teatro?;e o que chama mais a atenção da senhora quando a senhora vai ao teatro;2,7768000000000015
96,44;96,74647;uhum;aham;0,30647000000000446
136,83633;137,25514;o nome o::;o nome o;0,4188100000000077
137,25514;138,4248;o nome da peça não importa;o nome da peça não importa;1,1696599999999933
138,54522;138,77854;não;não;0,23331999999999198
163,25105;163,87256;Parado no Ar;parado no ar;0,6215100000000007
274,49169;275,42727;não assisti;não assisti;0,9355800000000158
312,39513;312,7136;uhum;aham;0,3184699999999907
327,6408;329,41425;como é que o público se manifesta;como é que o público se manifesta;1,7734499999999684
329,5677;332,20693;ou depois de terminado um a::to no interva::lo;ou depois de terminado um ato no intervalo;2,6392299999999977
332,20693;333,15988;ou depois da peça?;ou depois da peça;0,9529499999999871
333,7814;335,41358;no que diz respeito a peça em si;no que diz respeito a peça em si;1,6321800000000053
460,44;461,73663;a carinha dela;a carinha dela;1,2966299999999933
478,30594;479,62421;e como é que a senhora Acha;e como é que a senhora acha;1,318269999999984
479,62421;481,79555;que é elaborada uma peça de teatro?;que é elaborada uma peça de teatro;2,1713399999999865
515,28786;516,89374;e tirando a parte do artista;e tirando a parte do artista;1,6058799999999565
516,89374;519,76034;a senhora acha que devem haver outros cuidados para a peça;a senhora acha que devem haver outros cuidados para a peça;2,866600000000062
520,11067;521,24508;ser bem::;ser bem;1,1344100000000026
521,24508;522,34033;bem apresenTAda;bem apresentada;1,0952499999999645
522,34033;523,65405;obter um bom sucesso?;obter um bom sucesso;1,3137199999999893
612,43808;612,99298;uhum;aham;0,5548999999999751
648,65276;648,99045;uhum;aham;0,337690000000066
650,16141;650,4373;e::;e;0,27589000000000397
650,4373;654,01791;quem que ga/ a senhora acha que cuida de toda essa parte anterior;quem que ga a senhora acha que cuida de toda essa parte anterior;3,5806099999999788
654,27712;655,0216;à estreia?;à estreia;0,7444800000000669
693,5804;693,97156;uhum;aham;0,3911599999998998
708,23985;708,73854;certo;certo;0,4986899999998968
709,80771;712,82596;e a senhora nota alguma diferença entre um teatro e outro?;e a senhora nota alguma diferença entre um teatro e outro;3,0182499999999663
712,82596;713,25705;por exemplo;por exemplo;0,43109000000004016
713,25705;715,54999;quanto à:: parte em que o público fi::ca;quanto à parte em que o público fica;2,2929399999999305
715,54999;716,47683;a parte estética;a parte estética;0,9268399999999701
716,47683;718,46754;a senhora acha que há diferença entre um e o::utro;a senhora acha que há diferença entre um e outro;1,9907100000000355
718,46754;719,80578;ou todos são do mesmo tipo?;ou todos são do mesmo tipo;1,3382400000000416
775,68355;776,15691;uhum;aham;0,4733600000000706
779,064;779,68;certo;certo;0,6159999999999854
912,80303;915,68862;e onde é que as bailarinas se troca::vam se maquia::vam?;e onde é que as bailarinas se trocavam se maquiavam;2,8855899999999792
915,68862;916,89074;há um lugar específico;há um lugar específico;1,2021200000000363
916,89074;917,16;ou não?;ou não;0,26925999999991745
931,28314;931,6;ahn;ah;0,3168600000000197
1147,64886;1149,4116;a senhora Acha que houve alguma;a senhora acha que houve alguma;1,7627399999998943
1149,56689;1151,10394;evolução:: ou::;evolução ou;1,5370499999999083
1151,69236;1152,00468;sei lá;sei lá;0,3123199999999997
1152,00468;1154,38793;ou que tenha regredido o cinema atualMENte;ou que tenha regredido o cinema atualmente;2,383250000000089
1154,38793;1156,77903;em comparação ao cinema há uns anos anteriOres?;em comparação ao cinema há uns anos anteriores;2,391099999999824
1157,15888;1159,86576;e no que se/ e no que:: seria notada essa diferença?;e no que se e no que seria notada essa diferença;2,7068799999999555
1199,11557;1200,93036;e no que diz respeito à monTA::gem;e no que diz respeito à montagem;1,81479000000013
1200,93036;1202,54102;a senhora nota alguma diferença;a senhora nota alguma diferença;1,6106599999998252
1202,54102;1202,77922;ou não?;ou não;0,23820000000000618
1405,31093;1407,52767;e quem a senhora acha que é responsável;e quem a senhora acha que é responsável;2,216739999999845
1408,07908;1410,212;para:: por um bom sucesso de um filme?;para por um bom sucesso de um filme;2,132920000000013
1431,11313;1433,48218;se fosse passar um filme para crianças;se fosse passar um filme para crianças;2,3690500000000156
1433,48218;1435,66394;que tipo de filme a senhora acha que deveria ser passado?;que tipo de filme a senhora acha que deveria ser passado;2,18175999999994
1480,34359;1480,64635;é;é;0,3027600000000348
2013,33965;2015,18495;dona Ivone além do filme em SI;dona ivone além do filme em si;1,8453000000001794
2015,18495;2017,41591;a senhora acha que há alguma apresentação anteriOR;a senhora acha que há alguma apresentação anterior;2,230959999999868
2017,77604;2019,38808;que PRENde a atenção do PÚblico;que prende a atenção do público;1,612039999999979
2019,38808;2021,81756;e até que ponto ela possa ser interessante ou não?;e até que ponto ela possa ser interessante ou não;2,4294800000000123
2060,87528;2061,92871;e a televisão?;e a televisão;1,0534299999999348
2061,92871;2063,3918;o que é que a senhora acha da televisão?;o que é que a senhora acha da televisão;1,4630899999997382
2063,78722;2065,8105;que t/ que tipo de programa a senhora gosta?;que t que tipo de programa a senhora gosta;2,023279999999886
99,52;102,31095;e o que a senhora considera uma boa peça teatral?;e o que a senhora considera uma boa peça teatral;2,7909500000000094
220,53813;220,90011;uhum;aham;0,36198000000001684
221,27676;227,99478;e o que a senhora a senhora falou:: partici/ em:: bom artista né?... então eu gostaria que a senhora me dissesse o que que a senhora considera um bom artista;e o que a senhora a senhora falou partici em bom artista né então eu gostaria que a senhora me dissesse o que que a senhora considera um bom artista;6,718019999999996
288,2506;288,52;uhum;aham;0,2693999999999619
314,95217;323,75022;qual manifestação... que a senhora nota... ahn::... por parte do PÚblico... depois de uma representação teatral?;qual manifestação que a senhora nota ah por parte do público depois de uma representação teatral;8,79804999999999
401,46315;402,15391;para mim serviram;para mim serviram;0,6907600000000116
438,32419;438,64269;uhum;aham;0,31850000000002865
438,91568;446,38646;e essa peça aí que a senhora... que a senhora gostou MUIto mais vale um asno que me carregue e TAL... eu éh:: por que que a senhora gostou dessa peça?;e essa peça aí que a senhora que a senhora gostou muito mais vale um asno que me carregue e tal eu eh por que que a senhora gostou dessa peça;7,470779999999991
456,41799;457,1862;não gosta de drama?;não gosta de drama;0,7682100000000105
661,62546;662,7155;e além do diretor?;e além do diretor;1,0900400000000445
795,94456;796,38892;assisti;assisti;0,44435999999996056
862,78103;863,12;uhum;aham;0,33897000000001754
