path;start_sec;end_sec;mark;sentence;duration;prediction;phones;timestamps;wer;mer;wil;cer
./audios/SP_DID_208_0.0048_20.6794.wav;0,0048;20,6794;seu Nílton... nós gostaríamos que o senhor contasse para gente... todo seu ciclo de vida... desde a inFÂNcia adolesCÊNcia maturiDAde época de casaMENto como é que FOI... como é que o senhor conheceu sua esposa como foi o casaMEN::to... ahn:: a sua adolescência enfim TUdo que o senhor podia contar para gente assim de interessante nós gostaríamos que o senhor contasse por favor;seu nílton nós gostaríamos que o senhor contasse para gente todo seu ciclo de vida desde a infância adolescência maturidade época de casamento como é que foi como é que o senhor conheceu sua esposa como foi o casamento ah a sua adolescência enfim tudo que o senhor podia contar para gente assim de interessante nós gostaríamos que o senhor contasse por favor;20,6746;sento nós resabemos que o senhor contasse pra gente todo o seu ciclo divida de sua infância adolescência maturidade época de casamento como é que foi como é q ce conheceu sua esposa como foi o casamento eh a sua dolecênca tem todo o que o senhor podia contar pra gente assim de interessante por favor;fodazðassodemʊsksyrkotaspraʒnskodsosɪkudivjudədozonfæmsɛadolosɪsnakudiɡaːdaketkazameːntkomɛkfokunasokonsesejspozkomofolkazamentomsodolejsosisitduksokitokontaptaʒoncasinʒintedeastfakə;[{'text': 'sento', 'timestamp': (0.04, 0.44)}, {'text': 'nós', 'timestamp': (0.82, 0.9)}, {'text': 'resabemos', 'timestamp': (0.96, 1.42)}, {'text': 'que', 'timestamp': (1.48, 1.54)}, {'text': 'o', 'timestamp': (1.58, 1.6)}, {'text': 'senhor', 'timestamp': (1.66, 1.8)}, {'text': 'contasse', 'timestamp': (1.88, 2.34)}, {'text': 'pra', 'timestamp': (2.4, 2.52)}, {'text': 'gente', 'timestamp': (2.64, 3.02)}, {'text': 'todo', 'timestamp': (3.34, 3.5)}, {'text': 'o', 'timestamp': (3.56, 3.58)}, {'text': 'seu', 'timestamp': (3.64, 3.72)}, {'text': 'ciclo', 'timestamp': (3.88, 4.18)}, {'text': 'divida', 'timestamp': (4.28, 4.8)}, {'text': 'de', 'timestamp': (5.44, 5.48)}, {'text': 'sua', 'timestamp': (5.64, 5.76)}, {'text': 'infância', 'timestamp': (5.82, 6.66)}, {'text': 'adolescência', 'timestamp': (6.78, 7.58)}, {'text': 'maturidade', 'timestamp': (7.68, 8.52)}, {'text': 'época', 'timestamp': (8.62, 8.8)}, {'text': 'de', 'timestamp': (8.88, 8.92)}, {'text': 'casamento', 'timestamp': (9.0, 9.8)}, {'text': 'como', 'timestamp': (9.88, 10.02)}, {'text': 'é', 'timestamp': (10.08, 10.1)}, {'text': 'que', 'timestamp': (10.16, 10.24)}, {'text': 'foi', 'timestamp': (10.38, 10.5)}, {'text': 'como', 'timestamp': (11.18, 11.3)}, {'text': 'é', 'timestamp': (11.32, 11.34)}, {'text': 'q', 'timestamp': (11.36, 11.38)}, {'text': 'ce', 'timestamp': (11.42, 11.48)}, {'text': 'conheceu', 'timestamp': (11.54, 11.76)}, {'text': 'sua', 'timestamp': (11.84, 11.94)}, {'text': 'esposa', 'timestamp': (11.98, 12.34)}, {'text': 'como', 'timestamp': (12.44, 12.6)}, {'text': 'foi', 'timestamp': (12.72, 12.82)}, {'text': 'o', 'timestamp': (12.94, 12.96)}, {'text': 'casamento', 'timestamp': (13.04, 13.88)}, {'text': 'eh', 'timestamp': (14.72, 14.78)}, {'text': 'a', 'timestamp': (14.98, 15.0)}, {'text': 'sua', 'timestamp': (15.08, 15.18)}, {'text': 'dolecênca', 'timestamp': (15.26, 15.76)}, {'text': 'tem', 'timestamp': (15.88, 15.96)}, {'text': 'todo', 'timestamp': (16.1, 16.3)}, {'text': 'o', 'timestamp': (16.34, 16.36)}, {'text': 'que', 'timestamp': (16.38, 16.44)}, {'text': 'o', 'timestamp': (16.46, 16.48)}, {'text': 'senhor', 'timestamp': (16.5, 16.62)}, {'text': 'podia', 'timestamp': (16.66, 16.82)}, {'text': 'contar', 'timestamp': (16.88, 17.12)}, {'text': 'pra', 'timestamp': (17.18, 17.3)}, {'text': 'gente', 'timestamp': (17.42, 17.74)}, {'text': 'assim', 'timestamp': (17.8, 17.98)}, {'text': 'de', 'timestamp': (18.02, 18.08)}, {'text': 'interessante', 'timestamp': (18.16, 18.82)}, {'text': 'por', 'timestamp': (18.88, 18.94)}, {'text': 'favor', 'timestamp': (19.0, 19.24)}];0,38095238095238093;0,36363636363636365;0,5;0,2206703910614525
./audios/SP_DID_208_37.50473_37.94247.wav;37,50473;37,94247;uhn uhn;uh uh;0,437739999999998;aham;;[{'text': 'aham', 'timestamp': (1.02, 1.28)}];1,0;1,0;1,0;0,8
./audios/SP_DID_208_52.44112_52.81815.wav;52,44112;52,81815;uhn uhn;uh uh;0,37703000000000486;aham;;[{'text': 'aham', 'timestamp': (1.02, 1.28)}];1,0;1,0;1,0;0,8
./audios/SP_DID_208_126.49178_127.13566.wav;126,49178;127,13566;uhn uhn;uh uh;0,6438799999999958;ahamo;;[{'text': 'ahamo', 'timestamp': (1.14, 2.56)}];1,0;1,0;1,0;0,8
./audios/SP_DID_208_831.22747_831.44004.wav;831,22747;831,44004;uhn;uh;0,21256999999991422;uho;;[{'text': 'uho', 'timestamp': (1.04, 2.14)}];1,0;1,0;1,0;0,5
./audios/SP_DID_208_962.11098_967.54775.wav;962,11098;967,54775;seu Nílton como é que foi:: realizado o casamen::to a cerimô::nia como é que foi feito?;seu nílton como é que foi realizado o casamento a cerimônia como é que foi feito;5,43676999999991;gereutro como que foi o realizar do casamento a ser humano e como é que foi feito;sodatokonaɪfolləzahatokazammiːtosodinəɒnokmɛtffɪt;[{'text': 'gereutro', 'timestamp': (0.06, 0.42)}, {'text': 'como', 'timestamp': (0.48, 0.66)}, {'text': 'que', 'timestamp': (0.8, 0.86)}, {'text': 'foi', 'timestamp': (1.04, 1.16)}, {'text': 'o', 'timestamp': (1.44, 1.46)}, {'text': 'realizar', 'timestamp': (1.54, 2.06)}, {'text': 'do', 'timestamp': (2.24, 2.3)}, {'text': 'casamento', 'timestamp': (2.42, 3.3)}, {'text': 'a', 'timestamp': (3.36, 3.38)}, {'text': 'ser', 'timestamp': (3.5, 3.62)}, {'text': 'humano', 'timestamp': (3.7, 4.34)}, {'text': 'e', 'timestamp': (4.38, 4.4)}, {'text': 'como', 'timestamp': (4.46, 4.58)}, {'text': 'é', 'timestamp': (4.62, 4.64)}, {'text': 'que', 'timestamp': (4.7, 4.76)}, {'text': 'foi', 'timestamp': (4.84, 4.92)}, {'text': 'feito', 'timestamp': (5.06, 5.4)}];0,5625;0,47368421052631576;0,6323529411764706;0,2875
./audios/SP_DID_208_1463.75066_1464.58527.wav;1463,75066;1464,58527;uhn::;uh;0,8346100000001115;é;m;[{'text': 'é', 'timestamp': (1.6, 1.62)}];1,0;1,0;1,0;1,0
./audios/SP_DID_208_1500.14358_1506.30538.wav;1500,14358;1506,30538;eu queria saber o:: que que o senhor acha... por exemplo da mocidade atual comparada com a do senhor?;eu queria saber o que que o senhor acha por exemplo da mocidade atual comparada com a do senhor;6,161800000000085;eu queria saber o que é que o senhora acha o eno da uma mocidade atual comparada com a di sinhor;ɪlxdjsabɪukɪksɛaːʃəɪɛndamusdadɪpɻakompadadəkontsiːo;[{'text': 'eu', 'timestamp': (0.06, 0.1)}, {'text': 'queria', 'timestamp': (0.16, 0.4)}, {'text': 'saber', 'timestamp': (0.54, 0.92)}, {'text': 'o', 'timestamp': (1.18, 1.2)}, {'text': 'que', 'timestamp': (1.28, 1.36)}, {'text': 'é', 'timestamp': (1.38, 1.4)}, {'text': 'que', 'timestamp': (1.44, 1.5)}, {'text': 'o', 'timestamp': (1.54, 1.56)}, {'text': 'senhora', 'timestamp': (1.62, 1.84)}, {'text': 'acha', 'timestamp': (1.94, 2.38)}, {'text': 'o', 'timestamp': (2.7, 2.72)}, {'text': 'eno', 'timestamp': (2.84, 2.98)}, {'text': 'da', 'timestamp': (3.08, 3.12)}, {'text': 'uma', 'timestamp': (3.26, 3.34)}, {'text': 'mocidade', 'timestamp': (3.42, 3.96)}, {'text': 'atual', 'timestamp': (4.06, 4.38)}, {'text': 'comparada', 'timestamp': (4.66, 5.2)}, {'text': 'com', 'timestamp': (5.28, 5.34)}, {'text': 'a', 'timestamp': (5.4, 5.42)}, {'text': 'di', 'timestamp': (5.48, 5.54)}, {'text': 'sinhor', 'timestamp': (5.66, 5.96)}];0,3684210526315789;0,3333333333333333;0,5087719298245614;0,15789473684210525
./audios/SP_DID_208_1506.42619_1511.0075.wav;1506,42619;1511,0075;o senhor acha que há alguma diferen::ça dos jovens o que que o senhor nota de mais diferente?;o senhor acha que há alguma diferença dos jovens o que que o senhor nota de mais diferente;4,58131000000003;o senhora acha que á alguma diferença dos jovens o que que sea nota de mais diferente;soraːʃkalgumɛntfɪrɪssədɨzɻɒvɪskɪksənɒtədmaːtfnɪ;[{'text': 'o', 'timestamp': (0.04, 0.06)}, {'text': 'senhora', 'timestamp': (0.12, 0.3)}, {'text': 'acha', 'timestamp': (0.36, 0.48)}, {'text': 'que', 'timestamp': (0.54, 0.6)}, {'text': 'á', 'timestamp': (0.64, 0.66)}, {'text': 'alguma', 'timestamp': (0.72, 0.94)}, {'text': 'diferença', 'timestamp': (1.02, 1.76)}, {'text': 'dos', 'timestamp': (1.88, 2.0)}, {'text': 'jovens', 'timestamp': (2.14, 2.56)}, {'text': 'o', 'timestamp': (2.64, 2.66)}, {'text': 'que', 'timestamp': (2.72, 2.78)}, {'text': 'que', 'timestamp': (2.84, 2.9)}, {'text': 'sea', 'timestamp': (2.98, 3.12)}, {'text': 'nota', 'timestamp': (3.18, 3.38)}, {'text': 'de', 'timestamp': (3.48, 3.54)}, {'text': 'mais', 'timestamp': (3.6, 3.74)}, {'text': 'diferente', 'timestamp': (3.82, 4.52)}];0,2222222222222222;0,2222222222222222;0,3594771241830066;0,08888888888888889
./audios/SP_DID_208_1757.56078_1762.4178.wav;1757,56078;1762,4178;seu Nílton o que que o senhor teria de:: interessante para falar para gente a respeito dos seus filhos?;seu nílton o que que o senhor teria de interessante para falar para gente a respeito dos seus filhos;4,85701999999992;elento o que ue você tem ande interessante pra falar pra gente a respeito des seus filhos;tɛlɛtutksɪtɛɲɛʒiːtulssɛnʃpɛfalaːprəzomcɛhɪspɛtədssfiːz;[{'text': 'elento', 'timestamp': (0.1, 0.42)}, {'text': 'o', 'timestamp': (0.48, 0.52)}, {'text': 'que', 'timestamp': (0.56, 0.62)}, {'text': 'ue', 'timestamp': (0.68, 0.72)}, {'text': 'você', 'timestamp': (0.76, 0.86)}, {'text': 'tem', 'timestamp': (0.94, 1.0)}, {'text': 'ande', 'timestamp': (1.14, 1.38)}, {'text': 'interessante', 'timestamp': (1.72, 2.32)}, {'text': 'pra', 'timestamp': (2.38, 2.48)}, {'text': 'falar', 'timestamp': (2.6, 2.82)}, {'text': 'pra', 'timestamp': (2.9, 3.02)}, {'text': 'gente', 'timestamp': (3.14, 3.44)}, {'text': 'a', 'timestamp': (3.5, 3.52)}, {'text': 'respeito', 'timestamp': (3.56, 3.9)}, {'text': 'des', 'timestamp': (3.96, 4.04)}, {'text': 'seus', 'timestamp': (4.1, 4.26)}, {'text': 'filhos', 'timestamp': (4.4, 4.7)}];0,5263157894736842;0,5263157894736842;0,7492260061919505;0,21
