start_sec;end_sec;mark;text;duration
0,00488;5,89083;doutor Junker nós então queríamos perguntar ao senhor... alguma coisa sobre a sua experiência de fazenda;doutor junker nós então queríamos perguntar ao senhor alguma coisa sobre a sua experiência de fazenda;5,88595
5,89083;11,53768;experiência nesse caso... ih ah no sentido de descrever por exemplo a casa da fazenda;experiência nesse caso ih ah no sentido de descrever por exemplo a casa da fazenda;5,64685
12,47207;13,97424;para começar se o senhor se lembra;para começar se o senhor se lembra;1,5021699999999996
56,16052;57,01052;e iluminação?;e iluminação;0,8500000000000014
76,22865;76,71242;uhum;aham;0,4837699999999927
82,25064;84,08563;( ) e a iluminação era feita como?;e a iluminação era feita como;1,8349899999999906
102,79766;105,57316;e o tipo de terreno onde situava a fazenda?;e o tipo de terreno onde situava a fazenda;2,775500000000008
105,57316;108,56417;era um terreno plano ou um terreno mais acidentado?;era um terreno plano ou um terreno mais acidentado;2,991010000000003
124,67307;125,89033;acidentada por quê?;acidentada por quê;1,2172600000000102
132,88582;133,24044;uhum;aham;0,35462000000001126
139,07031;141,06401;e o que que se cultivava na fazenda?;e o que que se cultivava na fazenda;1,9936999999999898
148,3798;148,85547;[uhum;aham;0,47567000000000803
181,48084;183,94336;e de manutenção com o pessoal da fazenda não tem nada?;e de manutenção com o pessoal da fazenda não tem nada;2,462520000000012
216,20914;219,85148;essas pessoas que trabalham em fazenda têm um nome especial?;essas pessoas que trabalham em fazenda têm um nome especial;3,6423400000000186
251,78869;252,7934;eu não sei a [pre/];eu não sei a pre;1,0047099999999887
264,02307;264,37847;sim;sim;0,3553999999999746
278,08816;285,79092;agora uh não não sei se o senhor poderia se lembrar --tomara que se lembre--... éh::... a terra como é que era preparada?;agora uh não não sei se o senhor poderia se lembrar tomara que se lembre eh a terra como é que era preparada;7,702760000000012
287,2438;294,70103;manualmen::te ou ou... com algum instrumental... ou... ou mecanicamente?;manualmente ou ou com algum instrumental ou ou mecanicamente;7,457229999999981
316,71582;321,80567;e esse trato::r hã tinha... peças sobressalentes essa coisa toda não?;e esse trator ah tinha peças sobressalentes essa coisa toda não;5,089850000000013
322,54916;323,52306;era um tipo só?;era um tipo só;0,9739000000000146
326,60345;328,55751;essas peças têm um nome especial ou não?;essas peças têm um nome especial ou não;1,95405999999997
364,33743;370,91879;o o o senhor está lidando com gente ignorante de cidade... o senhor falou que enxada é diferente do enxadão por [quê?;o o o senhor está lidando com gente ignorante de cidade o senhor falou que enxada é diferente do enxadão por quê;6,581360000000018
390,03114;390,34005;uhum;aham;0,3089100000000258
390,86707;395,30725;e:: como é que se espalha... o o grão na terra para semear?;e como é que se espalha o o grão na terra para semear;4,440179999999998
412,10753;414,12498;[tinha uma técnica especial para isso?;tinha uma técnica especial para isso;2,0174499999999966
421,08371;421,5;uhum;aham;0,4162900000000036
428,85532;430,03714;é é [mecanizada?;é é mecanizada;1,181820000000016
430,59902;431,15734;ah sim;ah sim;0,5583199999999806
431,96;435,56329;ela faz parte do a/ desse arado ou é é é outro;ela faz parte do a desse arado ou é é é outro;3,6032900000000154
441,03978;441,71287;ah sim;ah sim;0,673090000000002
442,49824;448,86181;e como começa crescer... esse tipo de plantação há algum cuidado que se faz com ela?;e como começa crescer esse tipo de plantação há algum cuidado que se faz com ela;6,3635699999999815
450,11779;451,26434;que se faz na [terra?;que se faz na terra;1,1465499999999906
470,63153;470,96248;aham;aham;0,33095000000002983
480,17475;480,45508;uhum;aham;0,2803299999999922
490,90885;493,81164;se costuma plantar alguma coisa no meio do café?;se costuma plantar alguma coisa no meio do café;2,9027900000000386
512,86201;517,19877;tem um nome esse tipo de:: de... [plantação (assim quando se mistura)?;tem um nome esse tipo de de plantação assim quando se mistura;4,336759999999913
542,99402;544,26;isso não se usa mais?;isso não se usa mais;1,2659800000000132
553,27796;556,65057;e como é que se colhe... o café por exemplo?;e como é que se colhe o café por exemplo;3,3726100000000088
556,65057;557,53681;o senhor se lembra?;o senhor se lembra;0,8862399999999298
595,41402;597,77716;[sabe como é que se chama esse ato de passar a mão no [galho?;sabe como é que se chama esse ato de passar a mão no galho;2,3631399999999303
613,36211;619,69014;e depois que se hã que se pan/ esse vai esse grão vai para o... vai para o pano ou não ou o pano é só para:: ah:: [( );e depois que se ah que se pan esse vai esse grão vai para o vai para o pano ou não ou o pano é só para ah;6,3280300000000125
631,60749;632,84376;(enfim) como é que se limpa?;enfim como é que se limpa;1,2362699999999904
660,68208;661,6828;como é o terreiro?;como é o terreiro;1,0007200000000012
696,55223;697,77276;e o g/ o grão é é::;e o g o grão é é;1,2205299999999397
699,47766;702,68083;e tem algum cuidado especial durante essa secagem ou não?;e tem algum cuidado especial durante essa secagem ou não;3,20317
730,83434;733,06533;e manualmente se fazia isso também não?;e manualmente se fazia isso também não;2,23099000000002
735,46426;737,54146;com algum:: instrumento [especial?;com algum instrumento especial;2,0772000000000617
744,28;744,91967;aham;aham;0,6396700000000237
745,25826;747,02055;éh e essa [peça de madeira?;eh e essa peça de madeira;1,7622900000000072
752,96478;753,45754;aham;aham;0,49275999999997566
754,66212;757,56139;e depois desse café fei/ éh seco o que que se faz?;e depois desse café fei eh seco o que que se faz;2,8992700000000013
764,56621;764,77537;uhum;aham;0,20915999999999713
772,3635;779,0;e:: ele já está nessa fase já para para industrialização ou ainda tem que passar por um outro processo?;e ele já está nessa fase já para para industrialização ou ainda tem que passar por um outro processo;6,636499999999955
803,09558;806,08448;a fazenda geralmente tem tudo isso ou manda para fora?;a fazenda geralmente tem tudo isso ou manda para fora;2,988899999999944
828,65463;829,20774;uhum;aham;0,5531099999999469
830,54149;832,66157;e essa [roda d'água como é que era?;e essa roda dágua como é que era;2,12008000000003
875,06475;879,78;agora essa roda d'água é aproveitada para outra coisa além de de descascamento do café não?;agora essa roda dágua é aproveitada para outra coisa além de de descascamento do café não;4,715249999999969
884,15009;888,74654;mas e e me diga uma coisa esse café descascado... ele já está pronto para o consumo?;mas e e me diga uma coisa esse café descascado ele já está pronto para o consumo;4,596450000000004
905,46048;906,04;ah sim;ah sim;0,5795200000000023
915,08324;915,47609;sim;sim;0,39284999999995307
915,98153;918,34468;e e em relação ao milho?;e e em relação ao milho;2,3631500000000187
918,73996;922,99306;lembra que ao ao ao a as etapas ah para colher o milho?;lembra que ao ao ao a as etapas ah para colher o milho;4,253100000000018
959,53085;961,45504;tem algum indício na espiga?;tem algum indício na espiga;1,924190000000067
987,44721;989,62857;e como é como é que se trabalha com o milho?;e como é como é que se trabalha com o milho;2,181359999999927
1031,75971;1035,76;essa espiga é guardada em algum lugar hã antes de ser debulhada não?;essa espiga é guardada em algum lugar ah antes de ser debulhada não;4,00028999999995
1042,41553;1044,2593;e essa palha se aproveita?;e essa palha se aproveita;1,8437699999999495
1062,08489;1062,40325;aham;aham;0,3183599999999842
1063,1755;1070,47901;agora na espiga o senhor poderia descrever a espiga para a gente na hora que se que ela se que ela está ainda no pé?;agora na espiga o senhor poderia descrever a espiga para a gente na hora que se que ela se que ela está ainda no pé;7,30350999999996
1073,92299;1076,02644;as partes dela... né? éh;as partes dela né eh;2,103450000000066
1080,38;1081,98;[a parte que não tem o grão;a parte que não tem o grão;1,599999999999909
1081,98;1083,99612;a parte sem o grão depois que tira os grãos;a parte sem o grão depois que tira os grãos;2,016120000000001
1087,81451;1088,04098;é;é;0,226470000000063
1094,14764;1094,95267;se aproveita?;se aproveita;0,8050299999999879
1125,10976;1128,68056;e e esse milho armazenado depois o que é feito com ele?;e e esse milho armazenado depois o que é feito com ele;3,570799999999963
1158,27178;1160,31963;é é um outro tipo de [cereal né?;é é um outro tipo de cereal né;2,047849999999926
1162,37115;1168,18812;agora esse milho esse milho guardado no paiol depois como é que ele é... ti/ tirá/ ele é vendido?;agora esse milho esse milho guardado no paiol depois como é que ele é ti tirá ele é vendido;5,816970000000083
1173,62165;1175,27756;na espiga mesmo ou não?;na espiga mesmo ou não;1,655909999999949
